day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 51.5, 55.4, 47.6, 57.1, 61.4, 52.8, 45.9, 50.3, 41.5, 33.3
1, 2010-01-02, 51.5, 55.4, 47.6, 57.1, 61.4, 52.8, 45.9, 50.3, 41.5, 33.3
2, 2010-01-03, 51.5, 55.4, 47.6, 57.2, 61.5, 52.9, 45.9, 50.3, 41.5, 33.3
3, 2010-01-04, 51.5, 55.4, 47.6, 57.2, 61.6, 52.8, 45.9, 50.3, 41.5, 33.3
4, 2010-01-05, 51.6, 55.5, 47.7, 57.2, 61.6, 52.8, 45.9, 50.3, 41.5, 33.2
5, 2010-01-06, 51.6, 55.5, 47.7, 57.3, 61.7, 52.9, 45.9, 50.2, 41.6, 33.2
6, 2010-01-07, 51.6, 55.5, 47.7, 57.3, 61.7, 52.9, 45.9, 50.2, 41.6, 33.1
7, 2010-01-08, 51.7, 55.6, 47.8, 57.4, 61.8, 53, 45.9, 50.2, 41.6, 33
8, 2010-01-09, 51.7, 55.6, 47.8, 57.5, 61.9, 53.1, 45.9, 50.2, 41.6, 32.9
9, 2010-01-10, 51.8, 55.7, 47.9, 57.5, 61.9, 53.1, 46, 50.2, 41.8, 32.8
10, 2010-01-11, 51.8, 55.6, 48, 57.6, 62, 53.2, 46, 50.2, 41.8, 32.8
11, 2010-01-12, 51.9, 55.7, 48.1, 57.7, 62.1, 53.3, 46, 50.2, 41.8, 32.8
12, 2010-01-13, 51.9, 55.7, 48.1, 57.8, 62.2, 53.4, 46.1, 50.3, 41.9, 32.8
13, 2010-01-14, 52, 55.8, 48.2, 57.9, 62.3, 53.5, 46.1, 50.3, 41.9, 32.9
14, 2010-01-15, 52.1, 55.9, 48.3, 58, 62.5, 53.5, 46.2, 50.3, 42.1, 33
15, 2010-01-16, 52.2, 56, 48.4, 58.1, 62.6, 53.6, 46.2, 50.3, 42.1, 33
16, 2010-01-17, 52.3, 56.1, 48.5, 58.2, 62.7, 53.7, 46.3, 50.4, 42.2, 33.1
17, 2010-01-18, 52.4, 56.2, 48.6, 58.4, 62.9, 53.9, 46.4, 50.5, 42.3, 33.1
18, 2010-01-19, 52.5, 56.3, 48.7, 58.5, 63, 54, 46.4, 50.5, 42.3, 33.2
19, 2010-01-20, 52.6, 56.4, 48.8, 58.6, 63.1, 54.1, 46.5, 50.6, 42.4, 33.2
20, 2010-01-21, 52.7, 56.5, 48.9, 58.7, 63.2, 54.2, 46.6, 50.7, 42.5, 33.3
21, 2010-01-22, 52.8, 56.6, 49, 58.9, 63.4, 54.4, 46.7, 50.8, 42.6, 33.3
22, 2010-01-23, 52.9, 56.7, 49.1, 59, 63.5, 54.5, 46.7, 50.8, 42.6, 33.3
23, 2010-01-24, 53, 56.8, 49.2, 59.1, 63.7, 54.5, 46.8, 50.9, 42.7, 33.3
24, 2010-01-25, 53.1, 56.9, 49.3, 59.3, 63.9, 54.7, 46.9, 51.1, 42.7, 33.3
25, 2010-01-26, 53.2, 57.1, 49.3, 59.4, 64, 54.8, 47, 51.2, 42.8, 33.3
26, 2010-01-27, 53.3, 57.2, 49.4, 59.5, 64.1, 54.9, 47.1, 51.3, 42.9, 33.3
27, 2010-01-28, 53.4, 57.3, 49.5, 59.7, 64.3, 55.1, 47.2, 51.4, 43, 33.3
28, 2010-01-29, 53.6, 57.5, 49.7, 59.8, 64.5, 55.1, 47.3, 51.6, 43, 33.2
29, 2010-01-30, 53.7, 57.6, 49.8, 60, 64.7, 55.3, 47.4, 51.7, 43.1, 33.2
30, 2010-01-31, 53.8, 57.7, 49.9, 60.1, 64.8, 55.4, 47.5, 51.8, 43.2, 33.2
31, 2010-02-01, 53.9, 57.8, 50, 60.2, 64.9, 55.5, 47.6, 51.9, 43.3, 33.2
32, 2010-02-02, 54, 58, 50, 60.4, 65.1, 55.7, 47.7, 52, 43.4, 33.3
33, 2010-02-03, 54.1, 58.1, 50.1, 60.5, 65.3, 55.7, 47.8, 52.1, 43.5, 33.4
34, 2010-02-04, 54.3, 58.3, 50.3, 60.6, 65.4, 55.8, 47.9, 52.2, 43.6, 33.5
35, 2010-02-05, 54.4, 58.4, 50.4, 60.8, 65.6, 56, 48, 52.3, 43.7, 33.7
36, 2010-02-06, 54.5, 58.5, 50.5, 60.9, 65.7, 56.1, 48.1, 52.4, 43.8, 33.9
37, 2010-02-07, 54.6, 58.6, 50.6, 61, 65.8, 56.2, 48.2, 52.5, 43.9, 34.2
38, 2010-02-08, 54.7, 58.7, 50.7, 61.1, 66, 56.2, 48.3, 52.6, 44, 34.4
39, 2010-02-09, 54.8, 58.9, 50.7, 61.3, 66.2, 56.4, 48.4, 52.7, 44.1, 34.6
40, 2010-02-10, 54.9, 59, 50.8, 61.4, 66.3, 56.5, 48.5, 52.8, 44.2, 34.8
41, 2010-02-11, 55, 59.1, 50.9, 61.5, 66.5, 56.5, 48.6, 52.9, 44.3, 35
42, 2010-02-12, 55.2, 59.3, 51.1, 61.6, 66.6, 56.6, 48.7, 53, 44.4, 35.1
43, 2010-02-13, 55.3, 59.4, 51.2, 61.7, 66.7, 56.7, 48.8, 53, 44.6, 35.3
44, 2010-02-14, 55.4, 59.5, 51.3, 61.8, 66.9, 56.7, 48.9, 53.1, 44.7, 35.5
45, 2010-02-15, 55.5, 59.6, 51.4, 61.9, 67, 56.8, 49, 53.2, 44.8, 35.6
46, 2010-02-16, 55.6, 59.7, 51.5, 62, 67.1, 56.9, 49.1, 53.2, 45, 35.8
47, 2010-02-17, 55.7, 59.7, 51.7, 62.1, 67.2, 57, 49.2, 53.3, 45.1, 35.9
48, 2010-02-18, 55.7, 59.7, 51.7, 62.2, 67.3, 57.1, 49.3, 53.4, 45.2, 36.1
49, 2010-02-19, 55.8, 59.8, 51.8, 62.3, 67.5, 57.1, 49.4, 53.4, 45.4, 36.2
50, 2010-02-20, 55.9, 59.9, 51.9, 62.4, 67.6, 57.2, 49.4, 53.4, 45.4, 36.3
51, 2010-02-21, 56, 60, 52, 62.5, 67.7, 57.3, 49.5, 53.5, 45.5, 36.4
52, 2010-02-22, 56.1, 60.1, 52.1, 62.6, 67.8, 57.4, 49.6, 53.5, 45.7, 36.5
53, 2010-02-23, 56.2, 60.1, 52.3, 62.7, 67.9, 57.5, 49.7, 53.6, 45.8, 36.7
54, 2010-02-24, 56.3, 60.2, 52.4, 62.8, 68, 57.6, 49.8, 53.6, 46, 36.8
55, 2010-02-25, 56.4, 60.3, 52.5, 62.9, 68.1, 57.7, 49.8, 53.6, 46, 37
56, 2010-02-26, 56.4, 60.3, 52.5, 63, 68.2, 57.8, 49.9, 53.7, 46.1, 37.3
57, 2010-02-27, 56.5, 60.3, 52.7, 63, 68.1, 57.9, 50, 53.7, 46.3, 37.5
58, 2010-02-28, 56.6, 60.4, 52.8, 63.1, 68.2, 58, 50.1, 53.8, 46.4, 37.8
59, 2010-03-01, 56.7, 60.5, 52.9, 63.2, 68.3, 58.1, 50.1, 53.7, 46.5, 38.1
60, 2010-03-02, 56.7, 60.5, 52.9, 63.3, 68.4, 58.2, 50.2, 53.8, 46.6, 38.2
61, 2010-03-03, 56.8, 60.5, 53.1, 63.4, 68.5, 58.3, 50.3, 53.9, 46.7, 38.2
62, 2010-03-04, 56.9, 60.6, 53.2, 63.5, 68.6, 58.4, 50.3, 53.8, 46.8, 38.1
63, 2010-03-05, 57, 60.7, 53.3, 63.5, 68.6, 58.4, 50.4, 53.9, 46.9, 38
64, 2010-03-06, 57, 60.7, 53.3, 63.6, 68.7, 58.5, 50.4, 53.9, 46.9, 37.9
65, 2010-03-07, 57.1, 60.8, 53.4, 63.7, 68.8, 58.6, 50.5, 53.9, 47.1, 37.7
66, 2010-03-08, 57.2, 60.8, 53.6, 63.8, 68.9, 58.7, 50.5, 53.9, 47.1, 37.5
67, 2010-03-09, 57.2, 60.8, 53.6, 63.9, 69, 58.8, 50.6, 54, 47.2, 37.2
68, 2010-03-10, 57.3, 60.9, 53.7, 64, 69.1, 58.9, 50.6, 53.9, 47.3, 37
69, 2010-03-11, 57.4, 61, 53.8, 64.1, 69.2, 59, 50.7, 54, 47.4, 36.7
70, 2010-03-12, 57.4, 61, 53.8, 64.2, 69.3, 59.1, 50.7, 54, 47.4, 36.3
71, 2010-03-13, 57.5, 61.1, 53.9, 64.3, 69.4, 59.2, 50.8, 54.1, 47.5, 35.8
72, 2010-03-14, 57.6, 61.2, 54, 64.4, 69.5, 59.3, 50.8, 54.1, 47.5, 35.4
73, 2010-03-15, 57.6, 61.2, 54, 64.5, 69.6, 59.4, 50.8, 54, 47.6, 34.8
74, 2010-03-16, 57.7, 61.3, 54.1, 64.6, 69.7, 59.5, 50.9, 54.1, 47.7, 34.3
75, 2010-03-17, 57.8, 61.4, 54.2, 64.7, 69.8, 59.6, 50.9, 54.1, 47.7, 33.8
76, 2010-03-18, 57.8, 61.5, 54.1, 64.8, 70, 59.6, 50.9, 54.1, 47.7, 33.2
77, 2010-03-19, 57.9, 61.6, 54.2, 64.9, 70.1, 59.7, 51, 54.2, 47.8, 32.5
78, 2010-03-20, 58, 61.7, 54.3, 65, 70.3, 59.7, 51, 54.2, 47.8, 31.9
79, 2010-03-21, 58, 61.7, 54.3, 65.1, 70.4, 59.8, 51, 54.1, 47.9, 31.3
80, 2010-03-22, 58.1, 61.9, 54.3, 65.2, 70.6, 59.8, 51, 54.1, 47.9, 30.7
81, 2010-03-23, 58.2, 62, 54.4, 65.3, 70.7, 59.9, 51.1, 54.2, 48, 30.1
82, 2010-03-24, 58.2, 62, 54.4, 65.4, 70.9, 59.9, 51.1, 54.2, 48, 29.4
83, 2010-03-25, 58.3, 62.1, 54.5, 65.5, 71.1, 59.9, 51.1, 54.2, 48, 28.7
84, 2010-03-26, 58.4, 62.3, 54.5, 65.6, 71.2, 60, 51.1, 54.1, 48.1, 28
85, 2010-03-27, 58.4, 62.3, 54.5, 65.7, 71.4, 60, 51.2, 54.2, 48.2, 27.2
86, 2010-03-28, 58.5, 62.4, 54.6, 65.8, 71.5, 60.1, 51.2, 54.2, 48.2, 26.5
87, 2010-03-29, 58.6, 62.5, 54.7, 65.9, 71.7, 60.1, 51.2, 54.2, 48.2, 25.8
88, 2010-03-30, 58.6, 62.6, 54.6, 66, 71.8, 60.2, 51.2, 54.2, 48.2, 25.1
89, 2010-03-31, 58.7, 62.7, 54.7, 66.1, 72, 60.2, 51.2, 54.2, 48.2, 24.4
90, 2010-04-01, 58.8, 62.8, 54.8, 66.2, 72.1, 60.3, 51.3, 54.3, 48.3, 23.8
91, 2010-04-02, 58.8, 62.8, 54.8, 66.3, 72.2, 60.4, 51.3, 54.2, 48.4, 23.2
92, 2010-04-03, 58.9, 62.9, 54.9, 66.5, 72.5, 60.5, 51.3, 54.2, 48.4, 22.7
93, 2010-04-04, 59, 63, 55, 66.6, 72.6, 60.6, 51.4, 54.3, 48.5, 22.1
94, 2010-04-05, 59, 63, 55, 66.7, 72.7, 60.7, 51.4, 54.3, 48.5, 21.7
95, 2010-04-06, 59.1, 63.1, 55.1, 66.8, 72.8, 60.8, 51.4, 54.3, 48.5, 21.2
96, 2010-04-07, 59.2, 63.2, 55.2, 66.9, 72.9, 60.9, 51.4, 54.3, 48.5, 20.8
97, 2010-04-08, 59.2, 63.2, 55.2, 67, 73.1, 60.9, 51.5, 54.4, 48.6, 20.4
98, 2010-04-09, 59.3, 63.3, 55.3, 67, 73.1, 60.9, 51.5, 54.3, 48.7, 20
99, 2010-04-10, 59.3, 63.3, 55.3, 67.1, 73.2, 61, 51.6, 54.4, 48.8, 19.7
100, 2010-04-11, 59.4, 63.5, 55.3, 67.2, 73.3, 61.1, 51.6, 54.4, 48.8, 19.4
101, 2010-04-12, 59.5, 63.6, 55.4, 67.3, 73.5, 61.1, 51.6, 54.4, 48.8, 19.2
102, 2010-04-13, 59.5, 63.6, 55.4, 67.4, 73.6, 61.2, 51.7, 54.5, 48.9, 19
103, 2010-04-14, 59.6, 63.7, 55.5, 67.5, 73.7, 61.3, 51.7, 54.5, 48.9, 18.7
104, 2010-04-15, 59.7, 63.8, 55.6, 67.6, 73.8, 61.4, 51.8, 54.6, 49, 18.5
105, 2010-04-16, 59.7, 63.8, 55.6, 67.6, 73.8, 61.4, 51.8, 54.6, 49, 18.4
106, 2010-04-17, 59.8, 63.9, 55.7, 67.7, 73.9, 61.5, 51.9, 54.7, 49.1, 18.2
107, 2010-04-18, 59.9, 64, 55.8, 67.8, 74, 61.6, 52, 54.9, 49.1, 18.1
108, 2010-04-19, 59.9, 64, 55.8, 67.8, 74.1, 61.5, 52, 54.9, 49.1, 17.9
109, 2010-04-20, 60, 64.1, 55.9, 67.9, 74.2, 61.6, 52.1, 55, 49.2, 17.7
110, 2010-04-21, 60.1, 64.2, 56, 68, 74.3, 61.7, 52.1, 55, 49.2, 17.5
111, 2010-04-22, 60.1, 64.2, 56, 68, 74.3, 61.7, 52.2, 55.1, 49.3, 17.3
112, 2010-04-23, 60.2, 64.3, 56.1, 68.1, 74.4, 61.8, 52.3, 55.2, 49.4, 17.1
113, 2010-04-24, 60.3, 64.4, 56.2, 68.1, 74.4, 61.8, 52.4, 55.3, 49.5, 16.9
114, 2010-04-25, 60.3, 64.4, 56.2, 68.2, 74.4, 62, 52.4, 55.2, 49.6, 16.7
115, 2010-04-26, 60.4, 64.5, 56.3, 68.3, 74.5, 62.1, 52.5, 55.3, 49.7, 16.4
116, 2010-04-27, 60.4, 64.5, 56.3, 68.3, 74.5, 62.1, 52.6, 55.4, 49.8, 16.2
117, 2010-04-28, 60.5, 64.5, 56.5, 68.4, 74.6, 62.2, 52.7, 55.5, 49.9, 15.9
118, 2010-04-29, 60.6, 64.6, 56.6, 68.4, 74.6, 62.2, 52.7, 55.5, 49.9, 15.7
119, 2010-04-30, 60.6, 64.6, 56.6, 68.5, 74.7, 62.3, 52.8, 55.6, 50, 15.5
120, 2010-05-01, 60.7, 64.7, 56.7, 68.5, 74.6, 62.4, 52.9, 55.7, 50.1, 15.2
121, 2010-05-02, 60.8, 64.8, 56.8, 68.6, 74.7, 62.5, 53, 55.8, 50.2, 14.9
122, 2010-05-03, 60.8, 64.8, 56.8, 68.6, 74.7, 62.5, 53.1, 55.9, 50.3, 14.6
123, 2010-05-04, 60.9, 64.9, 56.9, 68.7, 74.8, 62.6, 53.2, 56, 50.4, 14.4
124, 2010-05-05, 61, 65, 57, 68.7, 74.8, 62.6, 53.3, 56.1, 50.5, 14.1
125, 2010-05-06, 61.1, 65, 57.2, 68.8, 74.8, 62.8, 53.4, 56.2, 50.6, 13.7
