day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 49.7, 53.8, 45.6, 57.7, 62.3, 53.1, 41.7, 46.6, 36.8, 35.3
1, 2010-01-02, 49.7, 53.8, 45.6, 57.7, 62.3, 53.1, 41.7, 46.6, 36.8, 35.4
2, 2010-01-03, 49.7, 53.8, 45.6, 57.7, 62.3, 53.1, 41.7, 46.6, 36.8, 35.4
3, 2010-01-04, 49.7, 53.8, 45.6, 57.8, 62.4, 53.2, 41.7, 46.6, 36.8, 35.4
4, 2010-01-05, 49.7, 53.8, 45.6, 57.8, 62.4, 53.2, 41.7, 46.6, 36.8, 35.4
5, 2010-01-06, 49.7, 53.8, 45.6, 57.8, 62.4, 53.2, 41.7, 46.6, 36.8, 35.4
6, 2010-01-07, 49.7, 53.8, 45.6, 57.8, 62.4, 53.2, 41.7, 46.6, 36.8, 35.3
7, 2010-01-08, 49.8, 53.9, 45.7, 57.8, 62.4, 53.2, 41.7, 46.6, 36.8, 35.3
8, 2010-01-09, 49.8, 53.9, 45.7, 57.9, 62.5, 53.3, 41.7, 46.6, 36.8, 35.3
9, 2010-01-10, 49.8, 53.9, 45.7, 57.9, 62.5, 53.3, 41.7, 46.6, 36.8, 35.3
10, 2010-01-11, 49.8, 53.9, 45.7, 57.9, 62.5, 53.3, 41.7, 46.6, 36.8, 35.3
11, 2010-01-12, 49.9, 53.9, 45.9, 58, 62.6, 53.4, 41.7, 46.6, 36.8, 35.4
12, 2010-01-13, 49.9, 53.9, 45.9, 58, 62.6, 53.4, 41.8, 46.7, 36.9, 35.5
13, 2010-01-14, 49.9, 54, 45.8, 58.1, 62.7, 53.5, 41.8, 46.7, 36.9, 35.6
14, 2010-01-15, 50, 54.1, 45.9, 58.2, 62.8, 53.6, 41.8, 46.7, 36.9, 35.7
15, 2010-01-16, 50, 54.1, 45.9, 58.2, 62.9, 53.5, 41.8, 46.7, 36.9, 35.9
16, 2010-01-17, 50.1, 54.2, 46, 58.3, 63, 53.6, 41.9, 46.8, 37, 35.9
17, 2010-01-18, 50.1, 54.2, 46, 58.4, 63.1, 53.7, 41.9, 46.8, 37, 36
18, 2010-01-19, 50.2, 54.3, 46.1, 58.4, 63.1, 53.7, 42, 46.9, 37.1, 36.1
19, 2010-01-20, 50.3, 54.4, 46.2, 58.5, 63.2, 53.8, 42, 46.9, 37.1, 36.2
20, 2010-01-21, 50.3, 54.4, 46.2, 58.6, 63.4, 53.8, 42.1, 46.9, 37.3, 36.3
21, 2010-01-22, 50.4, 54.5, 46.3, 58.7, 63.5, 53.9, 42.1, 46.9, 37.3, 36.4
22, 2010-01-23, 50.5, 54.6, 46.4, 58.8, 63.6, 54, 42.2, 47, 37.4, 36.4
23, 2010-01-24, 50.6, 54.7, 46.5, 58.9, 63.7, 54.1, 42.3, 47.1, 37.5, 36.4
24, 2010-01-25, 50.7, 54.8, 46.6, 59, 63.9, 54.1, 42.3, 47.1, 37.5, 36.3
25, 2010-01-26, 50.8, 54.9, 46.7, 59.1, 64, 54.2, 42.4, 47.2, 37.6, 36.3
26, 2010-01-27, 50.9, 55, 46.8, 59.2, 64.1, 54.3, 42.5, 47.3, 37.7, 36.3
27, 2010-01-28, 50.9, 55.1, 46.7, 59.3, 64.2, 54.4, 42.6, 47.4, 37.8, 36.2
28, 2010-01-29, 51.1, 55.3, 46.9, 59.5, 64.5, 54.5, 42.6, 47.4, 37.8, 36.2
29, 2010-01-30, 51.2, 55.4, 47, 59.6, 64.6, 54.6, 42.7, 47.5, 37.9, 36.1
30, 2010-01-31, 51.3, 55.5, 47.1, 59.7, 64.7, 54.7, 42.8, 47.6, 38, 36.1
31, 2010-02-01, 51.4, 55.6, 47.2, 59.8, 64.9, 54.7, 42.9, 47.7, 38.1, 36.1
32, 2010-02-02, 51.5, 55.7, 47.3, 60, 65.1, 54.9, 43, 47.8, 38.2, 36.2
33, 2010-02-03, 51.6, 55.8, 47.4, 60.1, 65.2, 55, 43.1, 47.9, 38.3, 36.4
34, 2010-02-04, 51.7, 55.9, 47.5, 60.2, 65.4, 55, 43.2, 48, 38.4, 36.5
35, 2010-02-05, 51.8, 56.1, 47.5, 60.4, 65.6, 55.2, 43.3, 48, 38.6, 36.6
36, 2010-02-06, 52, 56.3, 47.7, 60.5, 65.7, 55.3, 43.4, 48.1, 38.7, 36.8
37, 2010-02-07, 52.1, 56.4, 47.8, 60.6, 65.9, 55.3, 43.5, 48.2, 38.8, 37
38, 2010-02-08, 52.2, 56.5, 47.9, 60.8, 66.1, 55.5, 43.6, 48.3, 38.9, 37.1
39, 2010-02-09, 52.3, 56.6, 48, 60.9, 66.3, 55.5, 43.7, 48.4, 39, 37.2
40, 2010-02-10, 52.4, 56.7, 48.1, 61.1, 66.5, 55.7, 43.8, 48.5, 39.1, 37.4
41, 2010-02-11, 52.6, 56.9, 48.3, 61.2, 66.6, 55.8, 43.9, 48.6, 39.2, 37.5
42, 2010-02-12, 52.7, 57, 48.4, 61.3, 66.7, 55.9, 44, 48.7, 39.3, 37.6
43, 2010-02-13, 52.8, 57.1, 48.5, 61.5, 67, 56, 44.1, 48.7, 39.5, 37.6
44, 2010-02-14, 52.9, 57.2, 48.6, 61.6, 67.1, 56.1, 44.2, 48.8, 39.6, 37.7
45, 2010-02-15, 53, 57.3, 48.7, 61.7, 67.2, 56.2, 44.3, 48.9, 39.7, 37.8
46, 2010-02-16, 53.1, 57.5, 48.7, 61.9, 67.4, 56.4, 44.4, 49, 39.8, 37.8
47, 2010-02-17, 53.2, 57.6, 48.8, 62, 67.6, 56.4, 44.5, 49.1, 39.9, 37.8
48, 2010-02-18, 53.3, 57.7, 48.9, 62.1, 67.7, 56.5, 44.6, 49.2, 40, 37.8
49, 2010-02-19, 53.4, 57.8, 49, 62.2, 67.8, 56.6, 44.7, 49.3, 40.1, 37.8
50, 2010-02-20, 53.5, 57.9, 49.1, 62.3, 67.9, 56.7, 44.8, 49.4, 40.2, 37.7
51, 2010-02-21, 53.6, 58, 49.2, 62.5, 68.1, 56.9, 44.8, 49.4, 40.2, 37.6
52, 2010-02-22, 53.7, 58.1, 49.3, 62.6, 68.3, 56.9, 44.9, 49.5, 40.3, 37.5
53, 2010-02-23, 53.8, 58.2, 49.4, 62.7, 68.4, 57, 45, 49.6, 40.4, 37.4
54, 2010-02-24, 53.9, 58.3, 49.5, 62.8, 68.5, 57.1, 45.1, 49.7, 40.5, 37.3
55, 2010-02-25, 54, 58.5, 49.5, 62.9, 68.7, 57.1, 45.1, 49.7, 40.5, 37.2
56, 2010-02-26, 54.1, 58.6, 49.6, 63, 68.8, 57.2, 45.2, 49.7, 40.7, 37.1
57, 2010-02-27, 54.2, 58.7, 49.7, 63, 68.8, 57.2, 45.3, 49.8, 40.8, 36.9
58, 2010-02-28, 54.2, 58.7, 49.7, 63.1, 69, 57.2, 45.3, 49.8, 40.8, 36.8
59, 2010-03-01, 54.3, 58.8, 49.8, 63.2, 69.1, 57.3, 45.4, 49.9, 40.9, 36.4
60, 2010-03-02, 54.4, 58.9, 49.9, 63.3, 69.3, 57.3, 45.4, 49.9, 40.9, 36.1
61, 2010-03-03, 54.4, 58.9, 49.9, 63.4, 69.4, 57.4, 45.5, 50, 41, 35.8
62, 2010-03-04, 54.5, 59, 50, 63.4, 69.4, 57.4, 45.5, 50, 41, 35.5
63, 2010-03-05, 54.5, 59, 50, 63.5, 69.5, 57.5, 45.6, 50.1, 41.1, 35.1
64, 2010-03-06, 54.6, 59.1, 50.1, 63.6, 69.7, 57.5, 45.6, 50, 41.2, 34.7
65, 2010-03-07, 54.6, 59.1, 50.1, 63.6, 69.7, 57.5, 45.6, 50, 41.2, 34.3
66, 2010-03-08, 54.7, 59.3, 50.1, 63.7, 69.8, 57.6, 45.7, 50.1, 41.3, 33.9
67, 2010-03-09, 54.7, 59.3, 50.1, 63.8, 69.9, 57.7, 45.7, 50.1, 41.3, 33.5
68, 2010-03-10, 54.8, 59.4, 50.2, 63.8, 70, 57.6, 45.7, 50.1, 41.3, 33.1
69, 2010-03-11, 54.8, 59.4, 50.2, 63.9, 70.1, 57.7, 45.7, 50.1, 41.3, 32.7
70, 2010-03-12, 54.8, 59.4, 50.2, 63.9, 70.1, 57.7, 45.7, 50.1, 41.3, 32.3
71, 2010-03-13, 54.9, 59.5, 50.3, 64, 70.2, 57.8, 45.7, 50.1, 41.3, 31.9
72, 2010-03-14, 54.9, 59.5, 50.3, 64.1, 70.4, 57.8, 45.8, 50.2, 41.4, 31.5
73, 2010-03-15, 54.9, 59.5, 50.3, 64.1, 70.4, 57.8, 45.8, 50.2, 41.4, 31.1
74, 2010-03-16, 55, 59.7, 50.3, 64.2, 70.6, 57.8, 45.8, 50.2, 41.4, 30.7
