day,date,avg,avgh,avgl,hi,hih,hil,lo,loh,lol,precip
0,2010-01-01,27.6,39.0,16.2,34.0,44.8,23.2,21.2,34.1,8.3,324
1,2010-01-02,27.5,38.8,16.2,33.9,44.7,23.1,21.1,34.0,8.2,323
2,2010-01-03,27.4,38.7,16.1,33.9,44.6,23.2,21.0,33.9,8.1,322
3,2010-01-04,27.4,38.7,16.1,33.8,44.5,23.1,21.0,33.9,8.1,321
4,2010-01-05,27.3,38.6,16.0,33.7,44.3,23.1,20.9,33.8,8.0,320
5,2010-01-06,27.3,38.5,16.1,33.7,44.3,23.1,20.9,33.8,8.0,320
6,2010-01-07,27.2,38.4,16.0,33.6,44.1,23.1,20.8,33.7,7.9,319
7,2010-01-08,27.2,38.4,16.0,33.6,44.1,23.1,20.8,33.7,7.9,320
8,2010-01-09,27.1,38.3,15.9,33.6,44.1,23.1,20.7,33.6,7.8,320
9,2010-01-10,27.1,38.2,16.0,33.5,43.9,23.1,20.7,33.6,7.8,320
10,2010-01-11,27.1,38.2,16.0,33.5,43.9,23.1,20.7,33.6,7.8,320
11,2010-01-12,27.1,38.2,16.0,33.5,43.9,23.1,20.7,33.6,7.8,320
12,2010-01-13,27.1,38.2,16.0,33.5,43.9,23.1,20.7,33.6,7.8,319
13,2010-01-14,27.1,38.2,16.0,33.5,43.9,23.1,20.6,33.5,7.7,319
14,2010-01-15,27.1,38.2,16.0,33.5,43.9,23.1,20.6,33.4,7.8,318
15,2010-01-16,27.1,38.2,16.0,33.5,43.9,23.1,20.7,33.5,7.9,318
16,2010-01-17,27.1,38.2,16.0,33.5,43.9,23.1,20.7,33.5,7.9,317
17,2010-01-18,27.1,38.2,16.0,33.6,44.0,23.2,20.7,33.5,7.9,316
18,2010-01-19,27.2,38.3,16.1,33.6,44.1,23.1,20.7,33.5,7.9,315
19,2010-01-20,27.2,38.3,16.1,33.6,44.1,23.1,20.7,33.5,7.9,315
20,2010-01-21,27.2,38.4,16.0,33.7,44.3,23.1,20.8,33.6,8.0,315
21,2010-01-22,27.3,38.5,16.1,33.8,44.4,23.2,20.8,33.6,8.0,316
22,2010-01-23,27.3,38.5,16.1,33.8,44.5,23.1,20.9,33.7,8.1,316
23,2010-01-24,27.4,38.7,16.1,33.9,44.7,23.1,20.9,33.7,8.1,316
24,2010-01-25,27.5,38.8,16.2,34.0,44.8,23.2,21.0,33.7,8.3,317
25,2010-01-26,27.6,38.8,16.4,34.1,44.9,23.3,21.1,33.8,8.4,317
26,2010-01-27,27.7,38.9,16.5,34.2,45.0,23.4,21.1,33.7,8.5,317
27,2010-01-28,27.8,39.0,16.6,34.3,45.1,23.5,21.2,33.7,8.7,317
28,2010-01-29,27.9,39.0,16.8,34.4,45.1,23.7,21.3,33.7,8.9,318
29,2010-01-30,28.0,39.0,17.0,34.6,45.3,23.9,21.4,33.7,9.1,318
30,2010-01-31,28.1,39.0,17.2,34.7,45.3,24.1,21.5,33.7,9.3,317
31,2010-02-01,28.3,39.1,17.5,34.8,45.4,24.2,21.7,33.7,9.7,317
32,2010-02-02,28.4,39.2,17.6,35.0,45.5,24.5,21.8,33.7,9.9,316
33,2010-02-03,28.6,39.3,17.9,35.2,45.7,24.7,21.9,33.7,10.1,315
34,2010-02-04,28.7,39.3,18.1,35.4,45.8,25.0,22.1,33.8,10.4,314
35,2010-02-05,28.9,39.4,18.4,35.5,45.9,25.1,22.2,33.7,10.7,313
36,2010-02-06,29.1,39.5,18.7,35.7,46.0,25.4,22.4,33.8,11.0,312
37,2010-02-07,29.3,39.5,19.1,35.9,46.1,25.7,22.6,33.8,11.4,310
38,2010-02-08,29.5,39.6,19.4,36.2,46.3,26.1,22.8,33.9,11.7,309
39,2010-02-09,29.7,39.7,19.7,36.4,46.5,26.3,23.0,33.9,12.1,308
40,2010-02-10,29.9,39.8,20.0,36.6,46.6,26.6,23.2,34.0,12.4,308
41,2010-02-11,30.1,39.9,20.3,36.9,46.9,26.9,23.4,34.0,12.8,309
42,2010-02-12,30.4,40.1,20.7,37.1,47.0,27.2,23.6,34.1,13.1,309
43,2010-02-13,30.6,40.3,20.9,37.4,47.3,27.5,23.8,34.2,13.4,310
44,2010-02-14,30.8,40.4,21.2,37.6,47.5,27.7,24.1,34.4,13.8,311
45,2010-02-15,31.1,40.6,21.6,37.9,47.8,28.0,24.3,34.5,14.1,313
46,2010-02-16,31.4,40.9,21.9,38.2,48.1,28.3,24.5,34.6,14.4,314
47,2010-02-17,31.6,41.0,22.2,38.5,48.4,28.6,24.8,34.8,14.8,316
