day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 49.5, 53.9, 45.1, 57.1, 61.7, 52.5, 41.8, 47.8, 35.8, 36.4
1, 2010-01-02, 49.5, 53.9, 45.1, 57.1, 61.7, 52.5, 41.8, 47.7, 35.9, 36.4
2, 2010-01-03, 49.5, 53.9, 45.1, 57.2, 61.8, 52.6, 41.8, 47.7, 35.9, 36.3
3, 2010-01-04, 49.5, 53.9, 45.1, 57.2, 61.9, 52.5, 41.8, 47.7, 35.9, 36.1
4, 2010-01-05, 49.5, 53.9, 45.1, 57.3, 62, 52.6, 41.8, 47.7, 35.9, 36
5, 2010-01-06, 49.6, 54, 45.2, 57.3, 62, 52.6, 41.8, 47.7, 35.9, 35.8
6, 2010-01-07, 49.6, 54, 45.2, 57.4, 62.1, 52.7, 41.8, 47.7, 35.9, 35.7
7, 2010-01-08, 49.6, 53.9, 45.3, 57.4, 62.1, 52.7, 41.8, 47.7, 35.9, 35.6
8, 2010-01-09, 49.7, 54, 45.4, 57.5, 62.2, 52.8, 41.9, 47.8, 36, 35.5
9, 2010-01-10, 49.7, 54, 45.4, 57.5, 62.2, 52.8, 41.9, 47.8, 36, 35.4
10, 2010-01-11, 49.7, 54, 45.4, 57.6, 62.3, 52.9, 41.9, 47.7, 36.1, 35.3
11, 2010-01-12, 49.8, 54.1, 45.5, 57.7, 62.5, 52.9, 41.9, 47.7, 36.1, 35.2
12, 2010-01-13, 49.8, 54.1, 45.5, 57.7, 62.5, 52.9, 42, 47.8, 36.2, 35.1
13, 2010-01-14, 49.9, 54.2, 45.6, 57.8, 62.6, 53, 42, 47.8, 36.2, 35.1
14, 2010-01-15, 50, 54.3, 45.7, 57.9, 62.7, 53.1, 42, 47.8, 36.2, 35.1
15, 2010-01-16, 50, 54.3, 45.7, 58, 62.8, 53.2, 42.1, 47.8, 36.4, 35.1
16, 2010-01-17, 50.1, 54.4, 45.8, 58.1, 62.9, 53.3, 42.1, 47.8, 36.4, 35.1
17, 2010-01-18, 50.2, 54.5, 45.9, 58.1, 62.9, 53.3, 42.2, 47.9, 36.5, 35.2
18, 2010-01-19, 50.2, 54.5, 45.9, 58.2, 63, 53.4, 42.2, 47.9, 36.5, 35.4
19, 2010-01-20, 50.3, 54.6, 46, 58.3, 63.1, 53.5, 42.3, 48, 36.6, 35.6
20, 2010-01-21, 50.4, 54.7, 46.1, 58.4, 63.2, 53.6, 42.3, 48, 36.6, 35.8
21, 2010-01-22, 50.5, 54.8, 46.2, 58.5, 63.3, 53.7, 42.4, 48.1, 36.7, 36
22, 2010-01-23, 50.5, 54.7, 46.3, 58.6, 63.4, 53.8, 42.4, 48, 36.8, 36.2
23, 2010-01-24, 50.6, 54.8, 46.4, 58.7, 63.5, 53.9, 42.5, 48.1, 36.9, 36.3
24, 2010-01-25, 50.7, 54.9, 46.5, 58.8, 63.6, 54, 42.6, 48.2, 37, 36.5
25, 2010-01-26, 50.8, 55, 46.6, 58.9, 63.7, 54.1, 42.7, 48.3, 37.1, 36.6
26, 2010-01-27, 50.9, 55, 46.8, 59.1, 63.9, 54.3, 42.7, 48.2, 37.2, 36.7
27, 2010-01-28, 51, 55.1, 46.9, 59.2, 64, 54.4, 42.8, 48.3, 37.3, 36.8
28, 2010-01-29, 51.1, 55.2, 47, 59.3, 64.1, 54.5, 42.9, 48.3, 37.5, 36.9
29, 2010-01-30, 51.2, 55.2, 47.2, 59.4, 64.2, 54.6, 43, 48.4, 37.6, 37.1
30, 2010-01-31, 51.3, 55.3, 47.3, 59.5, 64.3, 54.7, 43, 48.3, 37.7, 37.2
31, 2010-02-01, 51.4, 55.4, 47.4, 59.7, 64.5, 54.9, 43.1, 48.4, 37.8, 37.3
32, 2010-02-02, 51.5, 55.5, 47.5, 59.8, 64.6, 55, 43.2, 48.4, 38, 37.5
33, 2010-02-03, 51.6, 55.5, 47.7, 59.9, 64.7, 55.1, 43.3, 48.5, 38.1, 37.7
34, 2010-02-04, 51.7, 55.6, 47.8, 60.1, 64.9, 55.3, 43.4, 48.5, 38.3, 37.9
35, 2010-02-05, 51.8, 55.6, 48, 60.2, 64.9, 55.5, 43.5, 48.6, 38.4, 38.1
36, 2010-02-06, 52, 55.8, 48.2, 60.4, 65.1, 55.7, 43.6, 48.6, 38.6, 38.3
37, 2010-02-07, 52.1, 55.9, 48.3, 60.5, 65.2, 55.8, 43.7, 48.7, 38.7, 38.5
38, 2010-02-08, 52.2, 56, 48.4, 60.6, 65.3, 55.9, 43.7, 48.7, 38.7, 38.7
39, 2010-02-09, 52.3, 56, 48.6, 60.8, 65.5, 56.1, 43.8, 48.7, 38.9, 38.9
40, 2010-02-10, 52.4, 56.1, 48.7, 60.9, 65.6, 56.2, 43.9, 48.8, 39, 39
41, 2010-02-11, 52.6, 56.3, 48.9, 61.1, 65.8, 56.4, 44, 48.9, 39.1, 39.2
42, 2010-02-12, 52.7, 56.4, 49, 61.2, 65.9, 56.5, 44.1, 48.9, 39.3, 39.3
43, 2010-02-13, 52.8, 56.4, 49.2, 61.4, 66.1, 56.7, 44.2, 49, 39.4, 39.4
44, 2010-02-14, 52.9, 56.5, 49.3, 61.5, 66.2, 56.8, 44.3, 49, 39.6, 39.4
45, 2010-02-15, 53, 56.6, 49.4, 61.7, 66.4, 57, 44.4, 49.1, 39.7, 39.4
46, 2010-02-16, 53.1, 56.7, 49.5, 61.8, 66.5, 57.1, 44.5, 49.2, 39.8, 39.4
47, 2010-02-17, 53.3, 56.9, 49.7, 62, 66.8, 57.2, 44.5, 49.1, 39.9, 39.3
48, 2010-02-18, 53.4, 57, 49.8, 62.1, 66.9, 57.3, 44.6, 49.2, 40, 39.2
49, 2010-02-19, 53.5, 57.1, 49.9, 62.3, 67.1, 57.5, 44.7, 49.3, 40.1, 39
50, 2010-02-20, 53.6, 57.3, 49.9, 62.4, 67.3, 57.5, 44.8, 49.4, 40.2, 38.8
51, 2010-02-21, 53.7, 57.4, 50, 62.6, 67.5, 57.7, 44.9, 49.5, 40.3, 38.5
52, 2010-02-22, 53.8, 57.5, 50.1, 62.7, 67.7, 57.7, 44.9, 49.5, 40.3, 38.2
53, 2010-02-23, 53.9, 57.7, 50.1, 62.8, 67.9, 57.7, 45, 49.6, 40.4, 37.9
54, 2010-02-24, 54, 57.8, 50.2, 63, 68.1, 57.9, 45.1, 49.7, 40.5, 37.6
55, 2010-02-25, 54.1, 58, 50.2, 63.1, 68.3, 57.9, 45.2, 49.8, 40.6, 37.3
