day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 50, 54.5, 45.5, 58.5, 63, 54, 41.6, 47.5, 35.7, 43.2
1, 2010-01-02, 50, 54.5, 45.5, 58.5, 63, 54, 41.6, 47.5, 35.7, 43.4
2, 2010-01-03, 50, 54.5, 45.5, 58.5, 63.1, 53.9, 41.6, 47.5, 35.7, 43.5
3, 2010-01-04, 50, 54.5, 45.5, 58.5, 63.1, 53.9, 41.6, 47.5, 35.7, 43.7
4, 2010-01-05, 50, 54.5, 45.5, 58.5, 63.1, 53.9, 41.6, 47.5, 35.7, 43.8
5, 2010-01-06, 50.1, 54.6, 45.6, 58.6, 63.2, 54, 41.6, 47.5, 35.7, 43.9
6, 2010-01-07, 50.1, 54.6, 45.6, 58.6, 63.2, 54, 41.5, 47.4, 35.6, 44
7, 2010-01-08, 50.1, 54.5, 45.7, 58.6, 63.2, 54, 41.5, 47.4, 35.6, 44.2
8, 2010-01-09, 50.1, 54.5, 45.7, 58.6, 63.2, 54, 41.5, 47.3, 35.7, 44.3
9, 2010-01-10, 50.1, 54.5, 45.7, 58.7, 63.3, 54.1, 41.5, 47.3, 35.7, 44.5
10, 2010-01-11, 50.1, 54.5, 45.7, 58.7, 63.3, 54.1, 41.5, 47.3, 35.7, 44.7
11, 2010-01-12, 50.1, 54.5, 45.7, 58.8, 63.4, 54.2, 41.5, 47.3, 35.7, 44.9
12, 2010-01-13, 50.1, 54.5, 45.7, 58.8, 63.4, 54.2, 41.5, 47.3, 35.7, 45.1
13, 2010-01-14, 50.2, 54.6, 45.8, 58.9, 63.5, 54.3, 41.5, 47.3, 35.7, 45.3
14, 2010-01-15, 50.2, 54.6, 45.8, 58.9, 63.5, 54.3, 41.4, 47.2, 35.6, 45.5
15, 2010-01-16, 50.2, 54.6, 45.8, 59, 63.7, 54.3, 41.4, 47.2, 35.6, 45.7
16, 2010-01-17, 50.2, 54.6, 45.8, 59, 63.7, 54.3, 41.4, 47.2, 35.6, 45.9
17, 2010-01-18, 50.2, 54.6, 45.8, 59.1, 63.8, 54.4, 41.4, 47.2, 35.6, 46.1
18, 2010-01-19, 50.3, 54.7, 45.9, 59.1, 63.8, 54.4, 41.4, 47.2, 35.6, 46.3
19, 2010-01-20, 50.3, 54.8, 45.8, 59.2, 64, 54.4, 41.4, 47.2, 35.6, 46.5
20, 2010-01-21, 50.3, 54.8, 45.8, 59.2, 64, 54.4, 41.4, 47.2, 35.6, 46.8
21, 2010-01-22, 50.4, 54.9, 45.9, 59.3, 64.1, 54.5, 41.4, 47.2, 35.6, 47
22, 2010-01-23, 50.4, 54.9, 45.9, 59.3, 64.1, 54.5, 41.4, 47.2, 35.6, 47.1
23, 2010-01-24, 50.4, 54.9, 45.9, 59.4, 64.3, 54.5, 41.5, 47.3, 35.7, 47.2
24, 2010-01-25, 50.4, 54.9, 45.9, 59.4, 64.3, 54.5, 41.5, 47.3, 35.7, 47.3
25, 2010-01-26, 50.5, 55, 46, 59.5, 64.4, 54.6, 41.5, 47.3, 35.7, 47.4
26, 2010-01-27, 50.5, 55, 46, 59.5, 64.4, 54.6, 41.5, 47.3, 35.7, 47.5
27, 2010-01-28, 50.5, 55, 46, 59.6, 64.6, 54.6, 41.5, 47.3, 35.7, 47.6
28, 2010-01-29, 50.6, 55.1, 46.1, 59.6, 64.6, 54.6, 41.5, 47.3, 35.7, 47.7
29, 2010-01-30, 50.6, 55.1, 46.1, 59.7, 64.7, 54.7, 41.6, 47.4, 35.8, 47.8
30, 2010-01-31, 50.6, 55.1, 46.1, 59.7, 64.7, 54.7, 41.6, 47.4, 35.8, 47.9
31, 2010-02-01, 50.7, 55.2, 46.2, 59.8, 64.8, 54.8, 41.6, 47.4, 35.8, 48
