day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 49.4, 53.6, 45.2, 56.9, 61.5, 52.3, 41.9, 47.3, 36.5, 41
1, 2010-01-02, 49.4, 53.6, 45.2, 56.9, 61.5, 52.3, 41.9, 47.3, 36.5, 40.8
2, 2010-01-03, 49.4, 53.6, 45.2, 56.9, 61.5, 52.3, 41.9, 47.3, 36.5, 40.4
3, 2010-01-04, 49.4, 53.6, 45.2, 56.9, 61.5, 52.3, 41.9, 47.3, 36.5, 40.1
4, 2010-01-05, 49.4, 53.6, 45.2, 56.9, 61.5, 52.3, 42, 47.4, 36.6, 39.8
5, 2010-01-06, 49.5, 53.7, 45.3, 56.9, 61.5, 52.3, 42, 47.4, 36.6, 39.5
6, 2010-01-07, 49.5, 53.7, 45.3, 56.9, 61.5, 52.3, 42, 47.4, 36.6, 39.1
7, 2010-01-08, 49.5, 53.7, 45.3, 56.9, 61.5, 52.3, 42, 47.4, 36.6, 38.7
8, 2010-01-09, 49.5, 53.6, 45.4, 56.9, 61.5, 52.3, 42.1, 47.5, 36.7, 38.2
9, 2010-01-10, 49.5, 53.6, 45.4, 56.9, 61.4, 52.4, 42.1, 47.4, 36.8, 37.8
10, 2010-01-11, 49.5, 53.6, 45.4, 57, 61.5, 52.5, 42.1, 47.4, 36.8, 37.2
11, 2010-01-12, 49.6, 53.7, 45.5, 57, 61.5, 52.5, 42.2, 47.5, 36.9, 36.7
12, 2010-01-13, 49.6, 53.7, 45.5, 57, 61.6, 52.4, 42.2, 47.5, 36.9, 36.2
13, 2010-01-14, 49.6, 53.7, 45.5, 57, 61.6, 52.4, 42.3, 47.5, 37.1, 35.8
14, 2010-01-15, 49.7, 53.8, 45.6, 57, 61.6, 52.4, 42.3, 47.5, 37.1, 35.3
15, 2010-01-16, 49.7, 53.8, 45.6, 57, 61.6, 52.4, 42.4, 47.6, 37.2, 34.9
16, 2010-01-17, 49.7, 53.8, 45.6, 57.1, 61.7, 52.5, 42.4, 47.6, 37.2, 34.6
17, 2010-01-18, 49.8, 53.9, 45.7, 57.1, 61.7, 52.5, 42.5, 47.7, 37.3, 34.4
18, 2010-01-19, 49.8, 53.9, 45.7, 57.1, 61.8, 52.4, 42.5, 47.7, 37.3, 34.2
19, 2010-01-20, 49.9, 54, 45.8, 57.2, 61.9, 52.5, 42.6, 47.8, 37.4, 34.1
20, 2010-01-21, 50, 54.1, 45.9, 57.2, 61.9, 52.5, 42.7, 47.9, 37.5, 34.1
21, 2010-01-22, 50, 54.1, 45.9, 57.3, 62, 52.6, 42.8, 48, 37.6, 34.1
22, 2010-01-23, 50.1, 54.2, 46, 57.3, 62, 52.6, 42.8, 47.9, 37.7, 34
23, 2010-01-24, 50.2, 54.2, 46.2, 57.4, 62.1, 52.7, 42.9, 48, 37.8, 33.9
24, 2010-01-25, 50.2, 54.2, 46.2, 57.5, 62.2, 52.8, 43, 48.1, 37.9, 33.9
25, 2010-01-26, 50.3, 54.3, 46.3, 57.6, 62.3, 52.9, 43.1, 48.2, 38, 33.9
26, 2010-01-27, 50.4, 54.4, 46.4, 57.6, 62.3, 52.9, 43.2, 48.2, 38.2, 33.9
27, 2010-01-28, 50.5, 54.5, 46.5, 57.7, 62.4, 53, 43.3, 48.3, 38.3, 33.9
28, 2010-01-29, 50.6, 54.6, 46.6, 57.8, 62.5, 53.1, 43.4, 48.4, 38.4, 33.9
29, 2010-01-30, 50.7, 54.6, 46.8, 57.9, 62.6, 53.2, 43.5, 48.4, 38.6, 34
30, 2010-01-31, 50.8, 54.7, 46.9, 58, 62.7, 53.3, 43.6, 48.5, 38.7, 34
31, 2010-02-01, 50.9, 54.8, 47, 58.2, 62.9, 53.5, 43.7, 48.6, 38.8, 34.1
32, 2010-02-02, 51, 54.9, 47.1, 58.3, 63, 53.6, 43.8, 48.6, 39, 34.3
33, 2010-02-03, 51.2, 55, 47.4, 58.4, 63.1, 53.7, 43.9, 48.7, 39.1, 34.5
34, 2010-02-04, 51.3, 55.1, 47.5, 58.5, 63.1, 53.9, 44, 48.7, 39.3, 34.8
35, 2010-02-05, 51.4, 55.2, 47.6, 58.7, 63.3, 54.1, 44.2, 48.9, 39.5, 35.1
36, 2010-02-06, 51.6, 55.4, 47.8, 58.8, 63.4, 54.2, 44.3, 48.9, 39.7, 35.4
37, 2010-02-07, 51.7, 55.5, 47.9, 59, 63.7, 54.3, 44.4, 49, 39.8, 35.8
38, 2010-02-08, 51.8, 55.5, 48.1, 59.1, 63.8, 54.4, 44.5, 49, 40, 36.1
39, 2010-02-09, 52, 55.7, 48.3, 59.3, 64, 54.6, 44.7, 49.2, 40.2, 36.4
40, 2010-02-10, 52.1, 55.8, 48.4, 59.4, 64.1, 54.7, 44.8, 49.3, 40.3, 36.8
41, 2010-02-11, 52.3, 56, 48.6, 59.6, 64.3, 54.9, 44.9, 49.3, 40.5, 37.1
42, 2010-02-12, 52.4, 56.1, 48.7, 59.8, 64.5, 55.1, 45, 49.4, 40.6, 37.4
43, 2010-02-13, 52.5, 56.1, 48.9, 59.9, 64.6, 55.2, 45.2, 49.5, 40.9, 37.6
44, 2010-02-14, 52.7, 56.3, 49.1, 60.1, 64.8, 55.4, 45.3, 49.6, 41, 37.8
45, 2010-02-15, 52.8, 56.4, 49.2, 60.3, 65, 55.6, 45.4, 49.7, 41.1, 38
46, 2010-02-16, 53, 56.6, 49.4, 60.4, 65.1, 55.7, 45.5, 49.7, 41.3, 38.2
47, 2010-02-17, 53.1, 56.7, 49.5, 60.6, 65.3, 55.9, 45.6, 49.8, 41.4, 38.4
48, 2010-02-18, 53.3, 56.9, 49.7, 60.8, 65.6, 56, 45.8, 50, 41.6, 38.4
49, 2010-02-19, 53.4, 57.1, 49.7, 60.9, 65.7, 56.1, 45.9, 50.1, 41.7, 38.3
50, 2010-02-20, 53.5, 57.2, 49.8, 61.1, 66, 56.2, 46, 50.2, 41.8, 38.3
51, 2010-02-21, 53.7, 57.4, 50, 61.3, 66.2, 56.4, 46.1, 50.3, 41.9, 38.2
52, 2010-02-22, 53.8, 57.6, 50, 61.4, 66.4, 56.4, 46.2, 50.3, 42.1, 38.1
53, 2010-02-23, 53.9, 57.7, 50.1, 61.6, 66.6, 56.6, 46.3, 50.4, 42.2, 38
54, 2010-02-24, 54.1, 57.9, 50.3, 61.7, 66.8, 56.6, 46.4, 50.5, 42.3, 37.8
55, 2010-02-25, 54.2, 58.1, 50.3, 61.9, 67.1, 56.7, 46.5, 50.6, 42.4, 37.6
56, 2010-02-26, 54.3, 58.3, 50.3, 62, 67.3, 56.7, 46.6, 50.7, 42.5, 37.4
57, 2010-02-27, 54.4, 58.4, 50.4, 62.2, 67.6, 56.8, 46.7, 50.9, 42.5, 37.2
58, 2010-02-28, 54.5, 58.6, 50.4, 62.3, 67.8, 56.8, 46.7, 50.9, 42.5, 36.9
59, 2010-03-01, 54.6, 58.7, 50.5, 62.4, 68, 56.8, 46.8, 51, 42.6, 36.3
