day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 47.2, 51.7, 42.7, 53.8, 59, 48.6, 40.6, 46.6, 34.6, 37.1
1, 2010-01-02, 47.2, 51.7, 42.7, 53.8, 59, 48.6, 40.6, 46.6, 34.6, 37.1
2, 2010-01-03, 47.2, 51.7, 42.7, 53.8, 59, 48.6, 40.6, 46.6, 34.6, 37
3, 2010-01-04, 47.3, 51.8, 42.8, 53.9, 59, 48.8, 40.6, 46.5, 34.7, 37
4, 2010-01-05, 47.3, 51.8, 42.8, 53.9, 59, 48.8, 40.7, 46.6, 34.8, 36.9
5, 2010-01-06, 47.3, 51.8, 42.8, 54, 59.1, 48.9, 40.7, 46.6, 34.8, 36.8
6, 2010-01-07, 47.4, 51.9, 42.9, 54, 59.1, 48.9, 40.7, 46.6, 34.8, 36.8
7, 2010-01-08, 47.4, 51.9, 42.9, 54.1, 59.2, 49, 40.8, 46.7, 34.9, 36.7
8, 2010-01-09, 47.5, 52, 43, 54.1, 59.2, 49, 40.8, 46.6, 35, 36.7
9, 2010-01-10, 47.5, 51.9, 43.1, 54.2, 59.3, 49.1, 40.9, 46.7, 35.1, 36.6
10, 2010-01-11, 47.6, 52, 43.2, 54.3, 59.4, 49.2, 40.9, 46.7, 35.1, 36.5
11, 2010-01-12, 47.7, 52.1, 43.3, 54.4, 59.5, 49.3, 41, 46.7, 35.3, 36.5
12, 2010-01-13, 47.7, 52, 43.4, 54.5, 59.5, 49.5, 41, 46.7, 35.3, 36.5
13, 2010-01-14, 47.8, 52.1, 43.5, 54.6, 59.6, 49.6, 41.1, 46.8, 35.4, 36.5
14, 2010-01-15, 47.9, 52.2, 43.6, 54.7, 59.7, 49.7, 41.2, 46.9, 35.5, 36.5
15, 2010-01-16, 48, 52.3, 43.7, 54.8, 59.8, 49.8, 41.2, 46.9, 35.5, 36.6
16, 2010-01-17, 48.1, 52.4, 43.8, 54.9, 59.9, 49.9, 41.3, 47, 35.6, 36.6
17, 2010-01-18, 48.2, 52.5, 43.9, 55, 60, 50, 41.4, 47.1, 35.7, 36.7
18, 2010-01-19, 48.3, 52.6, 44, 55.1, 60.1, 50.1, 41.4, 47.1, 35.7, 36.9
19, 2010-01-20, 48.4, 52.7, 44.1, 55.3, 60.3, 50.3, 41.5, 47.2, 35.8, 37
20, 2010-01-21, 48.5, 52.8, 44.2, 55.4, 60.4, 50.4, 41.6, 47.3, 35.9, 37.2
21, 2010-01-22, 48.6, 52.9, 44.3, 55.5, 60.5, 50.5, 41.6, 47.2, 36, 37.4
22, 2010-01-23, 48.7, 53, 44.4, 55.7, 60.7, 50.7, 41.7, 47.3, 36.1, 37.5
23, 2010-01-24, 48.8, 53.1, 44.5, 55.8, 60.8, 50.8, 41.8, 47.4, 36.2, 37.5
24, 2010-01-25, 48.9, 53.2, 44.6, 56, 61, 51, 41.9, 47.5, 36.3, 37.6
25, 2010-01-26, 49.1, 53.4, 44.8, 56.2, 61.3, 51.1, 41.9, 47.5, 36.3, 37.7
26, 2010-01-27, 49.2, 53.5, 44.9, 56.3, 61.4, 51.2, 42, 47.6, 36.4, 37.7
27, 2010-01-28, 49.3, 53.6, 45, 56.5, 61.6, 51.4, 42.1, 47.7, 36.5, 37.8
28, 2010-01-29, 49.4, 53.7, 45.1, 56.7, 61.8, 51.6, 42.2, 47.8, 36.6, 37.8
29, 2010-01-30, 49.6, 53.9, 45.3, 56.9, 62.1, 51.7, 42.2, 47.8, 36.6, 37.9
30, 2010-01-31, 49.7, 54, 45.4, 57.1, 62.3, 51.9, 42.3, 47.9, 36.7, 38
31, 2010-02-01, 49.8, 54.1, 45.5, 57.2, 62.4, 52, 42.4, 48, 36.8, 38.1
32, 2010-02-02, 50, 54.3, 45.7, 57.4, 62.7, 52.1, 42.5, 48.1, 36.9, 38.2
33, 2010-02-03, 50.1, 54.4, 45.8, 57.6, 62.9, 52.3, 42.5, 48.1, 36.9, 38.3
34, 2010-02-04, 50.2, 54.5, 45.9, 57.8, 63.1, 52.5, 42.6, 48.2, 37, 38.5
35, 2010-02-05, 50.4, 54.7, 46.1, 58, 63.4, 52.6, 42.7, 48.3, 37.1, 38.6
36, 2010-02-06, 50.5, 54.8, 46.2, 58.2, 63.6, 52.8, 42.7, 48.3, 37.1, 38.8
37, 2010-02-07, 50.6, 54.9, 46.3, 58.4, 63.8, 53, 42.8, 48.3, 37.3, 39
38, 2010-02-08, 50.8, 55.2, 46.4, 58.6, 64.1, 53.1, 42.9, 48.4, 37.4, 39.2
39, 2010-02-09, 50.9, 55.3, 46.5, 58.9, 64.4, 53.4, 42.9, 48.4, 37.4, 39.4
40, 2010-02-10, 51, 55.4, 46.6, 59.1, 64.7, 53.5, 43, 48.5, 37.5, 39.6
41, 2010-02-11, 51.2, 55.6, 46.8, 59.3, 64.9, 53.7, 43.1, 48.6, 37.6, 39.8
42, 2010-02-12, 51.3, 55.7, 46.9, 59.5, 65.1, 53.9, 43.1, 48.6, 37.6, 39.9
43, 2010-02-13, 51.4, 55.8, 47, 59.7, 65.4, 54, 43.2, 48.6, 37.8, 40.1
44, 2010-02-14, 51.5, 55.9, 47.1, 59.9, 65.6, 54.2, 43.2, 48.6, 37.8, 40.2
45, 2010-02-15, 51.7, 56.1, 47.3, 60.1, 65.9, 54.3, 43.3, 48.7, 37.9, 40.2
46, 2010-02-16, 51.8, 56.2, 47.4, 60.3, 66.1, 54.5, 43.3, 48.7, 37.9, 40.3
47, 2010-02-17, 51.9, 56.3, 47.5, 60.5, 66.4, 54.6, 43.4, 48.7, 38.1, 40.3
48, 2010-02-18, 52, 56.4, 47.6, 60.6, 66.5, 54.7, 43.4, 48.7, 38.1, 40.4
49, 2010-02-19, 52.2, 56.6, 47.8, 60.8, 66.8, 54.8, 43.5, 48.8, 38.2, 40.3
50, 2010-02-20, 52.3, 56.7, 47.9, 61, 67, 55, 43.5, 48.8, 38.2, 40.3
51, 2010-02-21, 52.4, 56.8, 48, 61.2, 67.2, 55.2, 43.6, 48.9, 38.3, 40.2
52, 2010-02-22, 52.5, 56.9, 48.1, 61.4, 67.5, 55.3, 43.6, 48.8, 38.4, 40.1
53, 2010-02-23, 52.6, 57, 48.2, 61.5, 67.6, 55.4, 43.6, 48.8, 38.4, 40
54, 2010-02-24, 52.7, 57.1, 48.3, 61.7, 67.9, 55.5, 43.7, 48.9, 38.5, 39.8
55, 2010-02-25, 52.8, 57.2, 48.4, 61.9, 68.1, 55.7, 43.7, 48.9, 38.5, 39.7
56, 2010-02-26, 52.9, 57.3, 48.5, 62, 68.3, 55.7, 43.8, 48.9, 38.7, 39.6
57, 2010-02-27, 53, 57.5, 48.5, 62.2, 68.5, 55.9, 43.8, 48.9, 38.7, 39.5
58, 2010-02-28, 53.1, 57.6, 48.6, 62.3, 68.7, 55.9, 43.8, 48.9, 38.7, 39.4
59, 2010-03-01, 53.2, 57.7, 48.7, 62.5, 69, 56, 43.9, 49, 38.8, 39
60, 2010-03-02, 53.3, 57.8, 48.8, 62.6, 69.1, 56.1, 43.9, 48.9, 38.9, 38.8
61, 2010-03-03, 53.4, 57.9, 48.9, 62.8, 69.4, 56.2, 44, 49, 39, 38.5
62, 2010-03-04, 53.4, 57.9, 48.9, 62.9, 69.5, 56.3, 44, 49, 39, 38.2
63, 2010-03-05, 53.5, 58, 49, 63, 69.7, 56.3, 44, 49, 39, 37.9
64, 2010-03-06, 53.6, 58.1, 49.1, 63.1, 69.8, 56.4, 44.1, 49.1, 39.1, 37.5
65, 2010-03-07, 53.7, 58.2, 49.2, 63.3, 70.1, 56.5, 44.1, 49, 39.2, 37
66, 2010-03-08, 53.7, 58.2, 49.2, 63.4, 70.2, 56.6, 44.1, 49, 39.2, 36.6
67, 2010-03-09, 53.8, 58.4, 49.2, 63.5, 70.3, 56.7, 44.2, 49.1, 39.3, 36.2
68, 2010-03-10, 53.9, 58.5, 49.3, 63.6, 70.5, 56.7, 44.2, 49, 39.4, 35.8
69, 2010-03-11, 54, 58.6, 49.4, 63.7, 70.6, 56.8, 44.2, 49, 39.4, 35.4
70, 2010-03-12, 54, 58.6, 49.4, 63.8, 70.7, 56.9, 44.2, 49, 39.4, 34.9
71, 2010-03-13, 54.1, 58.7, 49.5, 63.9, 70.9, 56.9, 44.3, 49.1, 39.5, 34.4
72, 2010-03-14, 54.2, 58.8, 49.6, 64, 71, 57, 44.3, 49, 39.6, 33.9
73, 2010-03-15, 54.2, 58.8, 49.6, 64.1, 71.1, 57.1, 44.3, 49, 39.6, 33.4
74, 2010-03-16, 54.3, 58.9, 49.7, 64.2, 71.3, 57.1, 44.4, 49.1, 39.7, 32.9
75, 2010-03-17, 54.4, 59, 49.8, 64.3, 71.4, 57.2, 44.4, 49.1, 39.7, 32.4
76, 2010-03-18, 54.4, 59.1, 49.7, 64.4, 71.6, 57.2, 44.5, 49.1, 39.9, 31.8
77, 2010-03-19, 54.5, 59.2, 49.8, 64.5, 71.7, 57.3, 44.5, 49.1, 39.9, 31.3
78, 2010-03-20, 54.6, 59.3, 49.9, 64.6, 71.8, 57.4, 44.5, 49.1, 39.9, 30.8
79, 2010-03-21, 54.6, 59.3, 49.9, 64.7, 72, 57.4, 44.6, 49.1, 40.1, 30.3
80, 2010-03-22, 54.7, 59.4, 50, 64.8, 72.1, 57.5, 44.6, 49.1, 40.1, 29.9
81, 2010-03-23, 54.8, 59.5, 50.1, 64.9, 72.3, 57.5, 44.6, 49.1, 40.1, 29.4
82, 2010-03-24, 54.9, 59.6, 50.2, 65, 72.4, 57.6, 44.7, 49.2, 40.2, 28.9
83, 2010-03-25, 54.9, 59.7, 50.1, 65.1, 72.5, 57.7, 44.7, 49.1, 40.3, 28.4
84, 2010-03-26, 55, 59.8, 50.2, 65.3, 72.8, 57.8, 44.8, 49.2, 40.4, 27.9
85, 2010-03-27, 55.1, 59.9, 50.3, 65.4, 72.9, 57.9, 44.8, 49.2, 40.4, 27.3
86, 2010-03-28, 55.2, 60, 50.4, 65.5, 73, 58, 44.8, 49.2, 40.4, 26.8
87, 2010-03-29, 55.3, 60.1, 50.5, 65.6, 73.1, 58.1, 44.9, 49.2, 40.6, 26.3
88, 2010-03-30, 55.3, 60.1, 50.5, 65.7, 73.2, 58.2, 44.9, 49.2, 40.6, 25.8
89, 2010-03-31, 55.4, 60.2, 50.6, 65.9, 73.5, 58.3, 45, 49.3, 40.7, 25.3
90, 2010-04-01, 55.5, 60.3, 50.7, 66, 73.6, 58.4, 45, 49.3, 40.7, 24.8
91, 2010-04-02, 55.6, 60.4, 50.8, 66.2, 73.8, 58.6, 45.1, 49.4, 40.8, 24.3
92, 2010-04-03, 55.7, 60.5, 50.9, 66.3, 73.9, 58.7, 45.1, 49.4, 40.8, 23.9
93, 2010-04-04, 55.8, 60.6, 51, 66.4, 74, 58.8, 45.2, 49.5, 40.9, 23.5
94, 2010-04-05, 55.9, 60.7, 51.1, 66.6, 74.3, 58.9, 45.2, 49.4, 41, 23.2
95, 2010-04-06, 56, 60.8, 51.2, 66.7, 74.4, 59, 45.3, 49.5, 41.1, 22.9
96, 2010-04-07, 56.1, 61, 51.2, 66.9, 74.6, 59.2, 45.4, 49.6, 41.2, 22.5
97, 2010-04-08, 56.2, 61.1, 51.3, 67.1, 74.9, 59.3, 45.4, 49.6, 41.2, 22.2
98, 2010-04-09, 56.4, 61.3, 51.5, 67.2, 75, 59.4, 45.5, 49.7, 41.3, 21.8
99, 2010-04-10, 56.5, 61.4, 51.6, 67.4, 75.2, 59.6, 45.5, 49.7, 41.3, 21.5
100, 2010-04-11, 56.6, 61.5, 51.7, 67.6, 75.5, 59.7, 45.6, 49.8, 41.4, 21.2
101, 2010-04-12, 56.7, 61.7, 51.7, 67.7, 75.6, 59.8, 45.7, 49.9, 41.5, 20.9
102, 2010-04-13, 56.8, 61.8, 51.8, 67.9, 75.9, 59.9, 45.7, 49.9, 41.5, 20.6
103, 2010-04-14, 57, 62, 52, 68.1, 76.1, 60.1, 45.8, 50, 41.6, 20.4
104, 2010-04-15, 57.1, 62.1, 52.1, 68.3, 76.3, 60.3, 45.9, 50.1, 41.7, 20.1
105, 2010-04-16, 57.2, 62.2, 52.2, 68.4, 76.5, 60.3, 46, 50.2, 41.8, 19.8
106, 2010-04-17, 57.3, 62.3, 52.3, 68.6, 76.7, 60.5, 46, 50.2, 41.8, 19.6
107, 2010-04-18, 57.5, 62.6, 52.4, 68.8, 77, 60.6, 46.1, 50.3, 41.9, 19.3
108, 2010-04-19, 57.6, 62.7, 52.5, 69, 77.2, 60.8, 46.2, 50.4, 42, 19
109, 2010-04-20, 57.7, 62.8, 52.6, 69.2, 77.4, 61, 46.3, 50.5, 42.1, 18.7
110, 2010-04-21, 57.9, 63, 52.8, 69.4, 77.6, 61.2, 46.4, 50.6, 42.2, 18.4
111, 2010-04-22, 58, 63.1, 52.9, 69.5, 77.8, 61.2, 46.5, 50.7, 42.3, 18.1
112, 2010-04-23, 58.1, 63.2, 53, 69.7, 78, 61.4, 46.5, 50.7, 42.3, 17.8
113, 2010-04-24, 58.3, 63.4, 53.2, 69.9, 78.2, 61.6, 46.6, 50.7, 42.5, 17.6
114, 2010-04-25, 58.4, 63.5, 53.3, 70.1, 78.4, 61.8, 46.7, 50.8, 42.6, 17.3
115, 2010-04-26, 58.5, 63.6, 53.4, 70.3, 78.6, 62, 46.8, 50.9, 42.7, 17
116, 2010-04-27, 58.7, 63.8, 53.6, 70.4, 78.7, 62.1, 46.9, 51, 42.8, 16.8
