day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 47.6, 52.4, 42.8, 56.7, 61.5, 51.9, 38.5, 45.2, 31.8, 32.6
1, 2010-01-02, 47.6, 52.4, 42.8, 56.7, 61.5, 51.9, 38.5, 45.2, 31.8, 32.7
2, 2010-01-03, 47.6, 52.4, 42.8, 56.8, 61.6, 52, 38.5, 45.2, 31.8, 32.7
3, 2010-01-04, 47.7, 52.4, 43, 56.8, 61.6, 52, 38.5, 45.2, 31.8, 32.6
4, 2010-01-05, 47.7, 52.4, 43, 56.8, 61.7, 51.9, 38.5, 45.2, 31.8, 32.6
5, 2010-01-06, 47.7, 52.4, 43, 56.9, 61.8, 52, 38.5, 45.1, 31.9, 32.5
6, 2010-01-07, 47.7, 52.4, 43, 57, 61.9, 52.1, 38.5, 45.1, 31.9, 32.5
7, 2010-01-08, 47.8, 52.5, 43.1, 57, 61.9, 52.1, 38.6, 45.2, 32, 32.4
8, 2010-01-09, 47.8, 52.5, 43.1, 57.1, 62, 52.2, 38.6, 45.1, 32.1, 32.4
9, 2010-01-10, 47.9, 52.5, 43.3, 57.1, 62, 52.2, 38.6, 45.1, 32.1, 32.3
10, 2010-01-11, 47.9, 52.5, 43.3, 57.2, 62.1, 52.3, 38.6, 45.1, 32.1, 32.3
11, 2010-01-12, 48, 52.6, 43.4, 57.3, 62.2, 52.4, 38.7, 45.1, 32.3, 32.3
12, 2010-01-13, 48, 52.6, 43.4, 57.3, 62.2, 52.4, 38.7, 45.1, 32.3, 32.3
13, 2010-01-14, 48.1, 52.6, 43.6, 57.4, 62.4, 52.4, 38.7, 45.1, 32.3, 32.3
14, 2010-01-15, 48.1, 52.6, 43.6, 57.5, 62.5, 52.5, 38.8, 45.1, 32.5, 32.3
15, 2010-01-16, 48.2, 52.7, 43.7, 57.6, 62.6, 52.6, 38.8, 45.1, 32.5, 32.4
16, 2010-01-17, 48.2, 52.7, 43.7, 57.7, 62.7, 52.7, 38.8, 45.1, 32.5, 32.4
17, 2010-01-18, 48.3, 52.8, 43.8, 57.7, 62.8, 52.6, 38.9, 45.2, 32.6, 32.4
18, 2010-01-19, 48.4, 52.9, 43.9, 57.8, 62.9, 52.7, 38.9, 45.2, 32.6, 32.4
19, 2010-01-20, 48.4, 52.9, 43.9, 57.9, 63, 52.8, 39, 45.3, 32.7, 32.5
20, 2010-01-21, 48.5, 53, 44, 58, 63.1, 52.9, 39, 45.3, 32.7, 32.6
21, 2010-01-22, 48.6, 53.1, 44.1, 58.1, 63.2, 53, 39.1, 45.4, 32.8, 32.7
22, 2010-01-23, 48.7, 53.2, 44.2, 58.2, 63.4, 53, 39.1, 45.4, 32.8, 32.8
23, 2010-01-24, 48.8, 53.3, 44.3, 58.3, 63.5, 53.1, 39.2, 45.4, 33, 32.8
24, 2010-01-25, 48.9, 53.4, 44.4, 58.4, 63.6, 53.2, 39.3, 45.5, 33.1, 32.9
25, 2010-01-26, 48.9, 53.4, 44.4, 58.6, 63.9, 53.3, 39.3, 45.5, 33.1, 32.9
26, 2010-01-27, 49, 53.5, 44.5, 58.7, 64, 53.4, 39.4, 45.6, 33.2, 32.9
27, 2010-01-28, 49.1, 53.6, 44.6, 58.8, 64.1, 53.5, 39.5, 45.7, 33.3, 32.9
28, 2010-01-29, 49.2, 53.7, 44.7, 58.9, 64.3, 53.5, 39.5, 45.7, 33.3, 32.8
29, 2010-01-30, 49.3, 53.8, 44.8, 59.1, 64.5, 53.7, 39.6, 45.8, 33.4, 32.8
30, 2010-01-31, 49.5, 54, 45, 59.2, 64.6, 53.8, 39.7, 45.9, 33.5, 32.8
31, 2010-02-01, 49.6, 54.1, 45.1, 59.3, 64.8, 53.8, 39.8, 46, 33.6, 32.9
32, 2010-02-02, 49.7, 54.3, 45.1, 59.5, 65, 54, 39.9, 46.1, 33.7, 33
33, 2010-02-03, 49.8, 54.4, 45.2, 59.6, 65.1, 54.1, 39.9, 46.1, 33.7, 33.1
34, 2010-02-04, 49.9, 54.5, 45.3, 59.8, 65.4, 54.2, 40, 46.2, 33.8, 33.3
35, 2010-02-05, 50, 54.6, 45.4, 59.9, 65.5, 54.3, 40.1, 46.3, 33.9, 33.4
36, 2010-02-06, 50.1, 54.7, 45.5, 60.1, 65.8, 54.4, 40.2, 46.3, 34.1, 33.6
37, 2010-02-07, 50.3, 54.9, 45.7, 60.2, 65.9, 54.5, 40.3, 46.4, 34.2, 33.7
38, 2010-02-08, 50.4, 55, 45.8, 60.4, 66.2, 54.6, 40.4, 46.5, 34.3, 33.9
39, 2010-02-09, 50.5, 55.1, 45.9, 60.6, 66.4, 54.8, 40.5, 46.6, 34.4, 34
40, 2010-02-10, 50.7, 55.3, 46.1, 60.7, 66.6, 54.8, 40.6, 46.7, 34.5, 34.1
41, 2010-02-11, 50.8, 55.4, 46.2, 60.9, 66.8, 55, 40.7, 46.8, 34.6, 34.3
42, 2010-02-12, 50.9, 55.5, 46.3, 61.1, 67.1, 55.1, 40.8, 46.9, 34.7, 34.5
43, 2010-02-13, 51.1, 55.7, 46.5, 61.2, 67.2, 55.2, 40.9, 46.9, 34.9, 34.7
44, 2010-02-14, 51.2, 55.8, 46.6, 61.4, 67.5, 55.3, 41, 47, 35, 34.9
45, 2010-02-15, 51.3, 55.9, 46.7, 61.6, 67.7, 55.5, 41.1, 47.1, 35.1, 35
46, 2010-02-16, 51.5, 56.1, 46.9, 61.7, 67.8, 55.6, 41.2, 47.2, 35.2, 35.2
47, 2010-02-17, 51.6, 56.2, 47, 61.9, 68.1, 55.7, 41.2, 47.2, 35.2, 35.3
48, 2010-02-18, 51.7, 56.3, 47.1, 62.1, 68.3, 55.9, 41.3, 47.3, 35.3, 35.4
