day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 50.2, 54.6, 45.8, 58.1, 62.9, 53.3, 42.4, 48, 36.8, 35.9
1, 2010-01-02, 50.2, 54.6, 45.8, 58.1, 62.9, 53.3, 42.4, 48, 36.8, 35.7
2, 2010-01-03, 50.2, 54.6, 45.8, 58.1, 62.9, 53.3, 42.4, 48, 36.8, 35.5
3, 2010-01-04, 50.3, 54.7, 45.9, 58.1, 62.9, 53.3, 42.4, 48, 36.8, 35.3
4, 2010-01-05, 50.3, 54.7, 45.9, 58.1, 62.9, 53.3, 42.4, 48, 36.8, 35.1
5, 2010-01-06, 50.3, 54.7, 45.9, 58.1, 62.9, 53.3, 42.4, 48, 36.8, 34.9
6, 2010-01-07, 50.3, 54.7, 45.9, 58.2, 63.1, 53.3, 42.5, 48.1, 36.9, 34.7
7, 2010-01-08, 50.3, 54.7, 45.9, 58.2, 63.1, 53.3, 42.5, 48, 37, 34.4
8, 2010-01-09, 50.4, 54.8, 46, 58.2, 63.1, 53.3, 42.5, 48, 37, 34.2
9, 2010-01-10, 50.4, 54.7, 46.1, 58.3, 63.2, 53.4, 42.5, 48, 37, 34
10, 2010-01-11, 50.4, 54.7, 46.1, 58.3, 63.2, 53.4, 42.6, 48.1, 37.1, 33.7
11, 2010-01-12, 50.5, 54.8, 46.2, 58.3, 63.2, 53.4, 42.6, 48, 37.2, 33.6
12, 2010-01-13, 50.5, 54.8, 46.2, 58.4, 63.3, 53.5, 42.7, 48.1, 37.3, 33.4
13, 2010-01-14, 50.6, 54.9, 46.3, 58.4, 63.3, 53.5, 42.7, 48.1, 37.3, 33.3
14, 2010-01-15, 50.6, 54.9, 46.3, 58.5, 63.4, 53.6, 42.7, 48.1, 37.3, 33.2
15, 2010-01-16, 50.7, 55, 46.4, 58.5, 63.4, 53.6, 42.8, 48.1, 37.5, 33.2
16, 2010-01-17, 50.7, 55, 46.4, 58.6, 63.6, 53.6, 42.8, 48.1, 37.5, 33.1
17, 2010-01-18, 50.8, 55.1, 46.5, 58.7, 63.7, 53.7, 42.9, 48.2, 37.6, 33.1
18, 2010-01-19, 50.8, 55.1, 46.5, 58.7, 63.7, 53.7, 42.9, 48.2, 37.6, 33.2
19, 2010-01-20, 50.9, 55.2, 46.6, 58.8, 63.8, 53.8, 43, 48.3, 37.7, 33.3
20, 2010-01-21, 51, 55.3, 46.7, 58.9, 63.9, 53.9, 43.1, 48.4, 37.8, 33.5
21, 2010-01-22, 51, 55.3, 46.7, 59, 64, 54, 43.1, 48.4, 37.8, 33.7
22, 2010-01-23, 51.1, 55.4, 46.8, 59.1, 64.2, 54, 43.2, 48.5, 37.9, 33.9
23, 2010-01-24, 51.2, 55.5, 46.9, 59.1, 64.2, 54, 43.3, 48.6, 38, 34
24, 2010-01-25, 51.3, 55.6, 47, 59.2, 64.3, 54.1, 43.3, 48.6, 38, 34.1
25, 2010-01-26, 51.4, 55.7, 47.1, 59.3, 64.4, 54.2, 43.4, 48.7, 38.1, 34.2
26, 2010-01-27, 51.5, 55.8, 47.2, 59.4, 64.5, 54.3, 43.5, 48.8, 38.2, 34.4
27, 2010-01-28, 51.6, 55.9, 47.3, 59.5, 64.6, 54.4, 43.6, 48.9, 38.3, 34.5
28, 2010-01-29, 51.7, 56, 47.4, 59.7, 64.8, 54.6, 43.7, 49, 38.4, 34.7
29, 2010-01-30, 51.8, 56.1, 47.5, 59.8, 64.9, 54.7, 43.8, 49.1, 38.5, 34.9
30, 2010-01-31, 51.9, 56.2, 47.6, 59.9, 65.1, 54.7, 43.9, 49.2, 38.6, 35
31, 2010-02-01, 52, 56.3, 47.7, 60, 65.2, 54.8, 43.9, 49.2, 38.6, 35.2
32, 2010-02-02, 52.1, 56.4, 47.8, 60.1, 65.3, 54.9, 44, 49.3, 38.7, 35.4
