day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.2
1, 2010-01-02, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.3
2, 2010-01-03, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.3
3, 2010-01-04, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.3
4, 2010-01-05, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.3
5, 2010-01-06, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.3
6, 2010-01-07, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.3
7, 2010-01-08, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.4
8, 2010-01-09, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.4
9, 2010-01-10, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.4
10, 2010-01-11, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.5
11, 2010-01-12, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.6
12, 2010-01-13, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.7
13, 2010-01-14, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.8
14, 2010-01-15, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 44.9
15, 2010-01-16, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 45
16, 2010-01-17, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 45.1
17, 2010-01-18, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 45.2
18, 2010-01-19, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 45.3
19, 2010-01-20, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 45.4
20, 2010-01-21, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 45.6
21, 2010-01-22, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 45.7
22, 2010-01-23, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 45.9
23, 2010-01-24, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 45.9
24, 2010-01-25, -999.9, -1999.8, 0, -999.9, -1999.8, 0, -999.9, -1999.8, 0, 46.1
