day,date,avg,avgh,avgl,hi,hih,hil,lo,loh,lol,precip
0,2010-01-01,33.4,42.9,23.9,38.9,49.0,28.8,27.9,37.4,18.4,346
1,2010-01-02,33.3,42.8,23.8,38.8,49.0,28.6,27.7,37.3,18.1,345
2,2010-01-03,33.1,42.7,23.5,38.7,48.9,28.5,27.6,37.2,18.0,345
3,2010-01-04,33.0,42.6,23.4,38.5,48.7,28.3,27.4,37.1,17.7,345
4,2010-01-05,32.9,42.6,23.2,38.4,48.7,28.1,27.3,37.0,17.6,344
5,2010-01-06,32.8,42.5,23.1,38.3,48.6,28.0,27.2,37.0,17.4,344
6,2010-01-07,32.7,42.5,22.9,38.2,48.6,27.8,27.1,37.0,17.2,343
7,2010-01-08,32.6,42.4,22.8,38.2,48.6,27.8,27.0,36.9,17.1,343
8,2010-01-09,32.5,42.4,22.6,38.1,48.5,27.7,26.9,36.9,16.9,342
9,2010-01-10,32.4,42.3,22.5,38.0,48.4,27.6,26.8,36.8,16.8,341
10,2010-01-11,32.4,42.3,22.5,38.0,48.4,27.6,26.8,36.8,16.8,340
11,2010-01-12,32.3,42.2,22.4,38.0,48.4,27.6,26.7,36.7,16.7,339
12,2010-01-13,32.3,42.2,22.4,37.9,48.3,27.5,26.7,36.7,16.7,338
13,2010-01-14,32.3,42.2,22.4,37.9,48.3,27.5,26.6,36.6,16.6,337
14,2010-01-15,32.3,42.2,22.4,37.9,48.3,27.5,26.6,36.6,16.6,336
15,2010-01-16,32.2,42.1,22.3,37.9,48.3,27.5,26.6,36.6,16.6,335
16,2010-01-17,32.2,42.1,22.3,37.9,48.3,27.5,26.6,36.6,16.6,334
17,2010-01-18,32.3,42.1,22.5,38.0,48.4,27.6,26.5,36.5,16.5,332
18,2010-01-19,32.3,42.1,22.5,38.0,48.4,27.6,26.6,36.6,16.6,331
19,2010-01-20,32.3,42.1,22.5,38.0,48.3,27.7,26.6,36.6,16.6,329
20,2010-01-21,32.3,42.1,22.5,38.1,48.4,27.8,26.6,36.5,16.7,327
21,2010-01-22,32.4,42.1,22.7,38.2,48.5,27.9,26.6,36.5,16.7,326
