day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 48.3, 52.3, 44.3, 55.5, 59.5, 51.5, 41.2, 46.9, 35.5, -999.9
1, 2010-01-02, 48.4, 52.4, 44.4, 55.5, 59.6, 51.4, 41.2, 46.9, 35.5, -999.9
2, 2010-01-03, 48.4, 52.4, 44.4, 55.6, 59.7, 51.5, 41.2, 46.9, 35.5, -999.9
3, 2010-01-04, 48.4, 52.4, 44.4, 55.7, 59.8, 51.6, 41.2, 46.9, 35.5, -999.9
4, 2010-01-05, 48.5, 52.5, 44.5, 55.7, 59.9, 51.5, 41.2, 46.8, 35.6, -999.9
5, 2010-01-06, 48.5, 52.5, 44.5, 55.8, 60, 51.6, 41.3, 46.9, 35.7, -999.9
6, 2010-01-07, 48.6, 52.6, 44.6, 55.9, 60.1, 51.7, 41.3, 46.9, 35.7, -999.9
7, 2010-01-08, 48.6, 52.6, 44.6, 56, 60.2, 51.8, 41.3, 46.9, 35.7, -999.9
8, 2010-01-09, 48.7, 52.7, 44.7, 56.1, 60.4, 51.8, 41.3, 46.9, 35.7, -999.9
9, 2010-01-10, 48.8, 52.8, 44.8, 56.2, 60.5, 51.9, 41.4, 47, 35.8, -999.9
10, 2010-01-11, 48.8, 52.8, 44.8, 56.3, 60.6, 52, 41.4, 47, 35.8, -999.9
11, 2010-01-12, 48.9, 52.9, 44.9, 56.4, 60.7, 52.1, 41.4, 47, 35.8, -999.9
12, 2010-01-13, 49, 53, 45, 56.5, 60.9, 52.1, 41.4, 46.9, 35.9, -999.9
13, 2010-01-14, 49, 53, 45, 56.6, 61, 52.2, 41.5, 47, 36, -999.9
14, 2010-01-15, 49.1, 53.1, 45.1, 56.7, 61.1, 52.3, 41.5, 47, 36, -999.9
15, 2010-01-16, 49.2, 53.2, 45.2, 56.8, 61.2, 52.4, 41.6, 47.1, 36.1, -999.9
16, 2010-01-17, 49.3, 53.3, 45.3, 56.9, 61.4, 52.4, 41.6, 47.1, 36.1, -999.9
17, 2010-01-18, 49.4, 53.4, 45.4, 57.1, 61.6, 52.6, 41.7, 47.2, 36.2, -999.9
18, 2010-01-19, 49.5, 53.5, 45.5, 57.2, 61.7, 52.7, 41.7, 47.2, 36.2, -999.9
19, 2010-01-20, 49.5, 53.5, 45.5, 57.3, 61.8, 52.8, 41.8, 47.3, 36.3, -999.9
20, 2010-01-21, 49.6, 53.6, 45.6, 57.4, 61.9, 52.9, 41.8, 47.3, 36.3, -999.9
21, 2010-01-22, 49.7, 53.7, 45.7, 57.6, 62.1, 53.1, 41.9, 47.4, 36.4, -999.9
22, 2010-01-23, 49.8, 53.8, 45.8, 57.7, 62.2, 53.2, 42, 47.5, 36.5, -999.9
23, 2010-01-24, 49.9, 53.9, 45.9, 57.8, 62.3, 53.3, 42.1, 47.6, 36.6, -999.9
24, 2010-01-25, 50, 54, 46, 57.9, 62.4, 53.4, 42.1, 47.5, 36.7, -999.9
25, 2010-01-26, 50.1, 54, 46.2, 58, 62.5, 53.5, 42.2, 47.6, 36.8, -999.9
26, 2010-01-27, 50.2, 54.1, 46.3, 58.2, 62.7, 53.7, 42.3, 47.7, 36.9, -999.9
27, 2010-01-28, 50.3, 54.2, 46.4, 58.3, 62.7, 53.9, 42.4, 47.8, 37, -999.9
28, 2010-01-29, 50.4, 54.3, 46.5, 58.4, 62.8, 54, 42.5, 47.9, 37.1, -999.9
29, 2010-01-30, 50.5, 54.4, 46.6, 58.5, 62.9, 54.1, 42.6, 48, 37.2, -999.9
30, 2010-01-31, 50.6, 54.5, 46.7, 58.6, 63, 54.2, 42.7, 48.1, 37.3, -999.9
31, 2010-02-01, 50.7, 54.6, 46.8, 58.7, 63.1, 54.3, 42.8, 48.1, 37.5, -999.9
32, 2010-02-02, 50.8, 54.7, 46.9, 58.8, 63.2, 54.4, 42.9, 48.2, 37.6, -999.9
33, 2010-02-03, 51, 54.9, 47.1, 58.9, 63.3, 54.5, 43, 48.3, 37.7, -999.9
