day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 50.5, 54.7, 46.3, 57.2, 62.1, 52.3, 43.8, 48.7, 38.9, 33.5
1, 2010-01-02, 50.5, 54.7, 46.3, 57.2, 62.1, 52.3, 43.8, 48.7, 38.9, 33.6
2, 2010-01-03, 50.5, 54.7, 46.3, 57.2, 62.1, 52.3, 43.8, 48.7, 38.9, 33.6
3, 2010-01-04, 50.5, 54.7, 46.3, 57.2, 62.1, 52.3, 43.8, 48.7, 38.9, 33.6
4, 2010-01-05, 50.5, 54.7, 46.3, 57.2, 62.1, 52.3, 43.8, 48.7, 38.9, 33.6
5, 2010-01-06, 50.5, 54.7, 46.3, 57.3, 62.2, 52.4, 43.8, 48.7, 38.9, 33.6
6, 2010-01-07, 50.6, 54.8, 46.4, 57.3, 62.2, 52.4, 43.8, 48.7, 38.9, 33.5
7, 2010-01-08, 50.6, 54.8, 46.4, 57.4, 62.3, 52.5, 43.8, 48.6, 39, 33.5
8, 2010-01-09, 50.6, 54.8, 46.4, 57.4, 62.3, 52.5, 43.8, 48.6, 39, 33.4
9, 2010-01-10, 50.7, 54.8, 46.6, 57.5, 62.4, 52.6, 43.9, 48.7, 39.1, 33.3
10, 2010-01-11, 50.7, 54.8, 46.6, 57.5, 62.4, 52.6, 43.9, 48.7, 39.1, 33.3
11, 2010-01-12, 50.8, 54.9, 46.7, 57.6, 62.5, 52.7, 43.9, 48.7, 39.1, 33.3
12, 2010-01-13, 50.8, 54.9, 46.7, 57.7, 62.6, 52.8, 44, 48.7, 39.3, 33.4
13, 2010-01-14, 50.9, 55, 46.8, 57.7, 62.6, 52.8, 44, 48.7, 39.3, 33.5
14, 2010-01-15, 50.9, 55, 46.8, 57.8, 62.7, 52.9, 44.1, 48.8, 39.4, 33.6
15, 2010-01-16, 51, 55.1, 46.9, 57.9, 62.8, 53, 44.1, 48.8, 39.4, 33.7
16, 2010-01-17, 51.1, 55.1, 47.1, 58, 62.9, 53.1, 44.2, 48.9, 39.5, 33.9
17, 2010-01-18, 51.2, 55.2, 47.2, 58.1, 63, 53.2, 44.3, 49, 39.6, 34
18, 2010-01-19, 51.3, 55.3, 47.3, 58.2, 63.1, 53.3, 44.3, 49, 39.6, 34.2
19, 2010-01-20, 51.4, 55.4, 47.4, 58.3, 63.2, 53.4, 44.4, 49.1, 39.7, 34.4
20, 2010-01-21, 51.4, 55.4, 47.4, 58.4, 63.3, 53.5, 44.5, 49.1, 39.9, 34.7
21, 2010-01-22, 51.5, 55.5, 47.5, 58.5, 63.4, 53.6, 44.6, 49.2, 40, 34.9
22, 2010-01-23, 51.6, 55.6, 47.6, 58.6, 63.5, 53.7, 44.6, 49.2, 40, 35
23, 2010-01-24, 51.7, 55.6, 47.8, 58.8, 63.7, 53.9, 44.7, 49.3, 40.1, 35.1
24, 2010-01-25, 51.9, 55.8, 48, 58.9, 63.8, 54, 44.8, 49.4, 40.2, 35.2
