day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 51.7, 56.3, 47.1, 56.3, 61.4, 51.2, 47.2, 52.3, 42.1, 33.2
1, 2010-01-02, 51.7, 56.3, 47.1, 56.3, 61.4, 51.2, 47.1, 52.2, 42, 33.2
2, 2010-01-03, 51.7, 56.3, 47.1, 56.3, 61.4, 51.2, 47.1, 52.2, 42, 33.2
3, 2010-01-04, 51.7, 56.3, 47.1, 56.3, 61.4, 51.2, 47.1, 52.2, 42, 33.2
4, 2010-01-05, 51.7, 56.3, 47.1, 56.3, 61.4, 51.2, 47.2, 52.3, 42.1, 33.2
5, 2010-01-06, 51.8, 56.4, 47.2, 56.3, 61.4, 51.2, 47.2, 52.3, 42.1, 33.2
6, 2010-01-07, 51.8, 56.3, 47.3, 56.4, 61.4, 51.4, 47.2, 52.3, 42.1, 33.2
7, 2010-01-08, 51.8, 56.3, 47.3, 56.4, 61.4, 51.4, 47.2, 52.2, 42.2, 33.2
8, 2010-01-09, 51.8, 56.3, 47.3, 56.4, 61.4, 51.4, 47.2, 52.2, 42.2, 33.3
9, 2010-01-10, 51.9, 56.4, 47.4, 56.4, 61.3, 51.5, 47.3, 52.3, 42.3, 33.3
10, 2010-01-11, 51.9, 56.3, 47.5, 56.5, 61.4, 51.6, 47.3, 52.2, 42.4, 33.3
11, 2010-01-12, 51.9, 56.3, 47.5, 56.5, 61.4, 51.6, 47.4, 52.3, 42.5, 33.4
12, 2010-01-13, 52, 56.4, 47.6, 56.6, 61.5, 51.7, 47.4, 52.2, 42.6, 33.5
13, 2010-01-14, 52, 56.3, 47.7, 56.6, 61.4, 51.8, 47.4, 52.2, 42.6, 33.6
14, 2010-01-15, 52.1, 56.4, 47.8, 56.7, 61.5, 51.9, 47.5, 52.3, 42.7, 33.7
15, 2010-01-16, 52.1, 56.4, 47.8, 56.7, 61.6, 51.8, 47.5, 52.3, 42.7, 33.9
16, 2010-01-17, 52.2, 56.5, 47.9, 56.8, 61.7, 51.9, 47.6, 52.4, 42.8, 34
17, 2010-01-18, 52.3, 56.7, 47.9, 56.9, 61.8, 52, 47.6, 52.3, 42.9, 34
18, 2010-01-19, 52.3, 56.7, 47.9, 56.9, 61.8, 52, 47.7, 52.4, 43, 34.1
19, 2010-01-20, 52.4, 56.8, 48, 57, 61.9, 52.1, 47.7, 52.4, 43, 34.3
20, 2010-01-21, 52.5, 56.9, 48.1, 57.1, 62, 52.2, 47.8, 52.5, 43.1, 34.5
21, 2010-01-22, 52.5, 56.9, 48.1, 57.2, 62.2, 52.2, 47.9, 52.6, 43.2, 34.7
22, 2010-01-23, 52.6, 57, 48.2, 57.3, 62.3, 52.3, 47.9, 52.6, 43.2, 34.9
23, 2010-01-24, 52.7, 57.1, 48.3, 57.4, 62.4, 52.4, 48, 52.7, 43.3, 35.1
24, 2010-01-25, 52.7, 57.1, 48.3, 57.4, 62.4, 52.4, 48, 52.7, 43.3, 35.2
25, 2010-01-26, 52.8, 57.2, 48.4, 57.5, 62.6, 52.4, 48.1, 52.8, 43.4, 35.3
26, 2010-01-27, 52.9, 57.3, 48.5, 57.6, 62.7, 52.5, 48.1, 52.8, 43.4, 35.4
