day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 47.6, 52.4, 42.8, 57.5, 62.5, 52.5, 37.8, 44.2, 31.4, 31.8
1, 2010-01-02, 47.7, 52.5, 42.9, 57.5, 62.5, 52.5, 37.8, 44.2, 31.4, 31.9
2, 2010-01-03, 47.7, 52.4, 43, 57.6, 62.6, 52.6, 37.8, 44.2, 31.4, 32
3, 2010-01-04, 47.7, 52.4, 43, 57.6, 62.6, 52.6, 37.9, 44.3, 31.5, 32.1
4, 2010-01-05, 47.8, 52.5, 43.1, 57.7, 62.7, 52.7, 37.9, 44.3, 31.5, 32.2
5, 2010-01-06, 47.8, 52.5, 43.1, 57.7, 62.7, 52.7, 38, 44.4, 31.6, 32.2
6, 2010-01-07, 47.9, 52.6, 43.2, 57.7, 62.7, 52.7, 38, 44.4, 31.6, 32.2
7, 2010-01-08, 47.9, 52.6, 43.2, 57.8, 62.8, 52.8, 38.1, 44.5, 31.7, 32.2
8, 2010-01-09, 48, 52.7, 43.3, 57.8, 62.8, 52.8, 38.1, 44.4, 31.8, 32.3
9, 2010-01-10, 48, 52.6, 43.4, 57.9, 62.9, 52.9, 38.2, 44.5, 31.9, 32.3
10, 2010-01-11, 48.1, 52.7, 43.5, 58, 63, 53, 38.2, 44.5, 31.9, 32.3
11, 2010-01-12, 48.2, 52.8, 43.6, 58, 62.9, 53.1, 38.3, 44.6, 32, 32.4
12, 2010-01-13, 48.2, 52.8, 43.6, 58.1, 63, 53.2, 38.3, 44.6, 32, 32.6
13, 2010-01-14, 48.3, 52.9, 43.7, 58.2, 63.1, 53.3, 38.4, 44.6, 32.2, 32.8
14, 2010-01-15, 48.3, 52.8, 43.8, 58.2, 63.1, 53.3, 38.4, 44.6, 32.2, 32.9
15, 2010-01-16, 48.4, 52.9, 43.9, 58.3, 63.2, 53.4, 38.5, 44.7, 32.3, 33.1
16, 2010-01-17, 48.5, 53, 44, 58.4, 63.3, 53.5, 38.5, 44.7, 32.3, 33.3
17, 2010-01-18, 48.5, 53, 44, 58.4, 63.3, 53.5, 38.6, 44.8, 32.4, 33.4
18, 2010-01-19, 48.6, 53.1, 44.1, 58.5, 63.4, 53.6, 38.6, 44.8, 32.4, 33.6
19, 2010-01-20, 48.7, 53.2, 44.2, 58.6, 63.6, 53.6, 38.7, 44.9, 32.5, 33.8
20, 2010-01-21, 48.7, 53.2, 44.2, 58.7, 63.7, 53.7, 38.8, 45, 32.6, 34
21, 2010-01-22, 48.8, 53.3, 44.3, 58.8, 63.8, 53.8, 38.8, 44.9, 32.7, 34.2
22, 2010-01-23, 48.9, 53.4, 44.4, 58.9, 63.9, 53.9, 38.9, 45, 32.8, 34.5
23, 2010-01-24, 48.9, 53.4, 44.4, 59, 64, 54, 38.9, 45, 32.8, 34.6
24, 2010-01-25, 49, 53.5, 44.5, 59.1, 64.1, 54.1, 39, 45.1, 32.9, 34.7
25, 2010-01-26, 49.1, 53.6, 44.6, 59.2, 64.2, 54.2, 39, 45.1, 32.9, 34.9
26, 2010-01-27, 49.2, 53.7, 44.7, 59.3, 64.3, 54.3, 39.1, 45.2, 33, 35
