day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 48.5, 53.1, 43.9, 57.3, 62.2, 52.4, 39.7, 45.9, 33.5, 31.1
1, 2010-01-02, 48.5, 53.1, 43.9, 57.3, 62.2, 52.4, 39.7, 45.9, 33.5, 31.2
2, 2010-01-03, 48.5, 53.1, 43.9, 57.3, 62.3, 52.3, 39.8, 46, 33.6, 31.3
3, 2010-01-04, 48.5, 53.1, 43.9, 57.3, 62.3, 52.3, 39.8, 46, 33.6, 31.4
4, 2010-01-05, 48.6, 53.2, 44, 57.3, 62.3, 52.3, 39.8, 46, 33.6, 31.5
5, 2010-01-06, 48.6, 53.2, 44, 57.3, 62.3, 52.3, 39.9, 46.1, 33.7, 31.5
6, 2010-01-07, 48.6, 53.2, 44, 57.4, 62.4, 52.4, 39.9, 46.1, 33.7, 31.6
7, 2010-01-08, 48.7, 53.3, 44.1, 57.4, 62.4, 52.4, 39.9, 46.1, 33.7, 31.7
8, 2010-01-09, 48.7, 53.2, 44.2, 57.4, 62.4, 52.4, 40, 46.2, 33.8, 31.8
9, 2010-01-10, 48.7, 53.2, 44.2, 57.5, 62.5, 52.5, 40, 46.2, 33.8, 31.8
10, 2010-01-11, 48.8, 53.3, 44.3, 57.5, 62.5, 52.5, 40.1, 46.3, 33.9, 31.8
11, 2010-01-12, 48.8, 53.3, 44.3, 57.6, 62.6, 52.6, 40.1, 46.2, 34, 31.9
12, 2010-01-13, 48.9, 53.4, 44.4, 57.6, 62.6, 52.6, 40.2, 46.3, 34.1, 32
13, 2010-01-14, 48.9, 53.4, 44.4, 57.7, 62.7, 52.7, 40.2, 46.3, 34.1, 32.1
14, 2010-01-15, 49, 53.4, 44.6, 57.7, 62.8, 52.6, 40.3, 46.4, 34.2, 32.2
15, 2010-01-16, 49.1, 53.5, 44.7, 57.8, 62.9, 52.7, 40.3, 46.4, 34.2, 32.3
16, 2010-01-17, 49.1, 53.5, 44.7, 57.9, 63, 52.8, 40.4, 46.5, 34.3, 32.3
17, 2010-01-18, 49.2, 53.6, 44.8, 58, 63.1, 52.9, 40.4, 46.5, 34.3, 32.4
18, 2010-01-19, 49.3, 53.7, 44.9, 58, 63.1, 52.9, 40.5, 46.6, 34.4, 32.5
19, 2010-01-20, 49.3, 53.7, 44.9, 58.1, 63.2, 53, 40.6, 46.7, 34.5, 32.6
20, 2010-01-21, 49.4, 53.8, 45, 58.2, 63.3, 53.1, 40.6, 46.7, 34.5, 32.7
21, 2010-01-22, 49.5, 53.9, 45.1, 58.3, 63.4, 53.2, 40.7, 46.8, 34.6, 32.8
22, 2010-01-23, 49.6, 54, 45.2, 58.4, 63.5, 53.3, 40.8, 46.9, 34.7, 32.9
23, 2010-01-24, 49.7, 54.1, 45.3, 58.5, 63.6, 53.4, 40.8, 46.9, 34.7, 33
24, 2010-01-25, 49.8, 54.2, 45.4, 58.6, 63.7, 53.5, 40.9, 47, 34.8, 33.1
25, 2010-01-26, 49.9, 54.3, 45.5, 58.8, 63.9, 53.7, 41, 47.1, 34.9, 33.1
26, 2010-01-27, 50, 54.4, 45.6, 58.9, 64, 53.8, 41.1, 47.2, 35, 33.1
27, 2010-01-28, 50.1, 54.5, 45.7, 59, 64.1, 53.9, 41.1, 47.2, 35, 33.2
