day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 49.6, 53.9, 45.3, 56.6, 61.4, 51.8, 42.6, 47.8, 37.4, 31.9
1, 2010-01-02, 49.6, 53.9, 45.3, 56.6, 61.4, 51.8, 42.6, 47.8, 37.4, 31.9
2, 2010-01-03, 49.6, 53.9, 45.3, 56.6, 61.4, 51.8, 42.6, 47.8, 37.4, 32
3, 2010-01-04, 49.6, 53.9, 45.3, 56.6, 61.4, 51.8, 42.6, 47.8, 37.4, 32.1
4, 2010-01-05, 49.6, 53.8, 45.4, 56.6, 61.4, 51.8, 42.6, 47.8, 37.4, 32.1
5, 2010-01-06, 49.6, 53.8, 45.4, 56.7, 61.5, 51.9, 42.6, 47.8, 37.4, 32.1
6, 2010-01-07, 49.6, 53.8, 45.4, 56.7, 61.5, 51.9, 42.6, 47.8, 37.4, 32.2
7, 2010-01-08, 49.7, 53.9, 45.5, 56.7, 61.5, 51.9, 42.6, 47.8, 37.4, 32.2
8, 2010-01-09, 49.7, 53.9, 45.5, 56.8, 61.6, 52, 42.6, 47.7, 37.5, 32.2
9, 2010-01-10, 49.7, 53.9, 45.5, 56.8, 61.6, 52, 42.6, 47.7, 37.5, 32.3
10, 2010-01-11, 49.8, 53.9, 45.7, 56.9, 61.7, 52.1, 42.6, 47.7, 37.5, 32.3
11, 2010-01-12, 49.8, 53.9, 45.7, 56.9, 61.7, 52.1, 42.7, 47.8, 37.6, 32.3
12, 2010-01-13, 49.8, 53.9, 45.7, 57, 61.7, 52.3, 42.7, 47.8, 37.6, 32.4
13, 2010-01-14, 49.9, 54, 45.8, 57.1, 61.9, 52.3, 42.7, 47.8, 37.6, 32.4
14, 2010-01-15, 50, 54.1, 45.9, 57.1, 61.9, 52.3, 42.8, 47.9, 37.7, 32.5
15, 2010-01-16, 50, 54.1, 45.9, 57.2, 62, 52.4, 42.8, 47.9, 37.7, 32.6
16, 2010-01-17, 50.1, 54.2, 46, 57.3, 62.1, 52.5, 42.9, 48, 37.8, 32.7
17, 2010-01-18, 50.2, 54.3, 46.1, 57.4, 62.2, 52.6, 42.9, 48, 37.8, 32.8
18, 2010-01-19, 50.2, 54.3, 46.1, 57.5, 62.3, 52.7, 43, 48.1, 37.9, 32.9
19, 2010-01-20, 50.3, 54.4, 46.2, 57.6, 62.4, 52.8, 43.1, 48.2, 38, 33.1
20, 2010-01-21, 50.4, 54.5, 46.3, 57.7, 62.5, 52.9, 43.1, 48.2, 38, 33.3
21, 2010-01-22, 50.5, 54.6, 46.4, 57.8, 62.6, 53, 43.2, 48.3, 38.1, 33.4
22, 2010-01-23, 50.6, 54.7, 46.5, 57.9, 62.7, 53.1, 43.3, 48.4, 38.2, 33.5
23, 2010-01-24, 50.7, 54.8, 46.6, 58, 62.9, 53.1, 43.3, 48.4, 38.2, 33.6
24, 2010-01-25, 50.8, 54.9, 46.7, 58.1, 63, 53.2, 43.4, 48.5, 38.3, 33.6
25, 2010-01-26, 50.9, 55, 46.8, 58.2, 63.1, 53.3, 43.5, 48.6, 38.4, 33.7
26, 2010-01-27, 51, 55.1, 46.9, 58.4, 63.3, 53.5, 43.6, 48.7, 38.5, 33.7
27, 2010-01-28, 51.1, 55.2, 47, 58.5, 63.5, 53.5, 43.7, 48.8, 38.6, 33.7
28, 2010-01-29, 51.2, 55.3, 47.1, 58.6, 63.6, 53.6, 43.8, 48.9, 38.7, 33.7
29, 2010-01-30, 51.3, 55.4, 47.2, 58.8, 63.8, 53.8, 43.9, 49, 38.8, 33.7
30, 2010-01-31, 51.5, 55.7, 47.3, 58.9, 64, 53.8, 44, 49.1, 38.9, 33.8
31, 2010-02-01, 51.6, 55.8, 47.4, 59, 64.1, 53.9, 44.1, 49.1, 39.1, 33.8
32, 2010-02-02, 51.7, 55.9, 47.5, 59.2, 64.3, 54.1, 44.2, 49.2, 39.2, 33.9
33, 2010-02-03, 51.8, 56, 47.6, 59.3, 64.4, 54.2, 44.3, 49.3, 39.3, 34.1
34, 2010-02-04, 51.9, 56.1, 47.7, 59.5, 64.7, 54.3, 44.4, 49.4, 39.4, 34.2
35, 2010-02-05, 52.1, 56.3, 47.9, 59.6, 64.8, 54.4, 44.5, 49.5, 39.5, 34.3
36, 2010-02-06, 52.2, 56.4, 48, 59.8, 65.1, 54.5, 44.6, 49.6, 39.6, 34.5
37, 2010-02-07, 52.3, 56.5, 48.1, 59.9, 65.2, 54.6, 44.7, 49.7, 39.7, 34.6
38, 2010-02-08, 52.4, 56.6, 48.2, 60, 65.4, 54.6, 44.9, 49.8, 40, 34.7
39, 2010-02-09, 52.6, 56.8, 48.4, 60.2, 65.6, 54.8, 45, 49.9, 40.1, 34.8
40, 2010-02-10, 52.7, 56.9, 48.5, 60.3, 65.7, 54.9, 45.1, 50, 40.2, 35
41, 2010-02-11, 52.8, 57, 48.6, 60.5, 66, 55, 45.2, 50.1, 40.3, 35.1
42, 2010-02-12, 53, 57.2, 48.8, 60.6, 66.1, 55.1, 45.3, 50.2, 40.4, 35.2
43, 2010-02-13, 53.1, 57.3, 48.9, 60.8, 66.3, 55.3, 45.4, 50.2, 40.6, 35.2
44, 2010-02-14, 53.2, 57.4, 49, 60.9, 66.5, 55.3, 45.5, 50.3, 40.7, 35.2
45, 2010-02-15, 53.3, 57.5, 49.1, 61, 66.6, 55.4, 45.6, 50.4, 40.8, 35.2
46, 2010-02-16, 53.4, 57.6, 49.2, 61.2, 66.8, 55.6, 45.7, 50.4, 41, 35.3
47, 2010-02-17, 53.5, 57.7, 49.3, 61.3, 67, 55.6, 45.8, 50.5, 41.1, 35.3
48, 2010-02-18, 53.7, 57.9, 49.5, 61.4, 67.1, 55.7, 45.9, 50.6, 41.2, 35.3
49, 2010-02-19, 53.8, 58, 49.6, 61.6, 67.3, 55.9, 46, 50.7, 41.3, 35.2
50, 2010-02-20, 53.9, 58.1, 49.7, 61.7, 67.4, 56, 46.1, 50.7, 41.5, 35.1
51, 2010-02-21, 54, 58.2, 49.8, 61.8, 67.6, 56, 46.2, 50.8, 41.6, 35
52, 2010-02-22, 54.1, 58.3, 49.9, 61.9, 67.7, 56.1, 46.3, 50.9, 41.7, 34.9
53, 2010-02-23, 54.2, 58.4, 50, 62, 67.8, 56.2, 46.4, 51, 41.8, 34.8
54, 2010-02-24, 54.3, 58.5, 50.1, 62.1, 67.9, 56.3, 46.4, 50.9, 41.9, 34.7
55, 2010-02-25, 54.4, 58.6, 50.2, 62.2, 68, 56.4, 46.5, 51, 42, 34.7
56, 2010-02-26, 54.5, 58.7, 50.3, 62.4, 68.3, 56.5, 46.6, 51.1, 42.1, 34.6
57, 2010-02-27, 54.6, 58.8, 50.4, 62.5, 68.4, 56.6, 46.7, 51.2, 42.2, 34.5
58, 2010-02-28, 54.6, 58.8, 50.4, 62.6, 68.5, 56.7, 46.7, 51.1, 42.3, 34.5
59, 2010-03-01, 54.7, 58.9, 50.5, 62.7, 68.6, 56.8, 46.8, 51.2, 42.4, 34.2
60, 2010-03-02, 54.8, 59.1, 50.5, 62.7, 68.7, 56.7, 46.9, 51.3, 42.5, 34
61, 2010-03-03, 54.9, 59.2, 50.6, 62.8, 68.8, 56.8, 46.9, 51.3, 42.5, 33.8
62, 2010-03-04, 55, 59.3, 50.7, 62.9, 68.9, 56.9, 47, 51.4, 42.6, 33.5
63, 2010-03-05, 55, 59.3, 50.7, 63, 69, 57, 47, 51.4, 42.6, 33.2
64, 2010-03-06, 55.1, 59.4, 50.8, 63.1, 69.1, 57.1, 47.1, 51.5, 42.7, 32.9
65, 2010-03-07, 55.2, 59.5, 50.9, 63.2, 69.2, 57.2, 47.1, 51.4, 42.8, 32.6
66, 2010-03-08, 55.2, 59.5, 50.9, 63.3, 69.3, 57.3, 47.2, 51.5, 42.9, 32.2
67, 2010-03-09, 55.3, 59.6, 51, 63.3, 69.3, 57.3, 47.2, 51.5, 42.9, 31.9
68, 2010-03-10, 55.4, 59.7, 51.1, 63.4, 69.4, 57.4, 47.3, 51.6, 43, 31.6
