day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 50.7, 55.1, 46.3, 59.7, 64.7, 54.7, 41.7, 47.6, 35.8, 35.7
1, 2010-01-02, 50.7, 55.1, 46.3, 59.6, 64.6, 54.6, 41.7, 47.6, 35.8, 35.4
2, 2010-01-03, 50.7, 55.1, 46.3, 59.6, 64.6, 54.6, 41.7, 47.6, 35.8, 35.1
3, 2010-01-04, 50.6, 55, 46.2, 59.5, 64.5, 54.5, 41.7, 47.5, 35.9, 34.7
4, 2010-01-05, 50.6, 55, 46.2, 59.5, 64.5, 54.5, 41.8, 47.6, 36, 34.4
5, 2010-01-06, 50.6, 55, 46.2, 59.5, 64.5, 54.5, 41.8, 47.6, 36, 34.1
6, 2010-01-07, 50.6, 55, 46.2, 59.4, 64.4, 54.4, 41.8, 47.6, 36, 33.8
7, 2010-01-08, 50.6, 54.9, 46.3, 59.4, 64.4, 54.4, 41.8, 47.6, 36, 33.4
8, 2010-01-09, 50.6, 54.9, 46.3, 59.4, 64.4, 54.4, 41.9, 47.7, 36.1, 33
9, 2010-01-10, 50.6, 54.9, 46.3, 59.4, 64.4, 54.4, 41.9, 47.7, 36.1, 32.6
10, 2010-01-11, 50.7, 55, 46.4, 59.4, 64.4, 54.4, 41.9, 47.7, 36.1, 32.2
11, 2010-01-12, 50.7, 55, 46.4, 59.4, 64.4, 54.4, 42, 47.7, 36.3, 31.7
12, 2010-01-13, 50.7, 55, 46.4, 59.4, 64.4, 54.4, 42, 47.7, 36.3, 31.4
13, 2010-01-14, 50.7, 55, 46.4, 59.4, 64.4, 54.4, 42, 47.7, 36.3, 31
14, 2010-01-15, 50.8, 55.1, 46.5, 59.4, 64.4, 54.4, 42.1, 47.8, 36.4, 30.7
15, 2010-01-16, 50.8, 55.1, 46.5, 59.5, 64.5, 54.5, 42.1, 47.8, 36.4, 30.5
16, 2010-01-17, 50.9, 55.2, 46.6, 59.5, 64.6, 54.4, 42.2, 47.9, 36.5, 30.4
17, 2010-01-18, 50.9, 55.2, 46.6, 59.6, 64.7, 54.5, 42.3, 47.9, 36.7, 30.3
18, 2010-01-19, 51, 55.3, 46.7, 59.6, 64.7, 54.5, 42.3, 47.9, 36.7, 30.3
