day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 50.6, 54.5, 46.7, 56, 60.8, 51.2, 45.2, 49.3, 41.1, 37.3
1, 2010-01-02, 50.6, 54.5, 46.7, 56, 60.8, 51.2, 45.2, 49.3, 41.1, 37.3
2, 2010-01-03, 50.6, 54.5, 46.7, 56, 60.9, 51.1, 45.2, 49.3, 41.1, 37.3
3, 2010-01-04, 50.6, 54.5, 46.7, 56, 60.9, 51.1, 45.2, 49.3, 41.1, 37.2
4, 2010-01-05, 50.6, 54.5, 46.7, 56.1, 61, 51.2, 45.2, 49.3, 41.1, 37.2
5, 2010-01-06, 50.7, 54.6, 46.8, 56.1, 61, 51.2, 45.2, 49.3, 41.1, 37.1
6, 2010-01-07, 50.7, 54.6, 46.8, 56.1, 61, 51.2, 45.3, 49.4, 41.2, 37.1
7, 2010-01-08, 50.7, 54.6, 46.8, 56.2, 61.1, 51.3, 45.3, 49.3, 41.3, 37
8, 2010-01-09, 50.8, 54.7, 46.9, 56.2, 61.1, 51.3, 45.3, 49.3, 41.3, 36.9
9, 2010-01-10, 50.8, 54.7, 46.9, 56.3, 61.3, 51.3, 45.3, 49.3, 41.3, 36.8
10, 2010-01-11, 50.9, 54.8, 47, 56.3, 61.3, 51.3, 45.4, 49.4, 41.4, 36.8
11, 2010-01-12, 50.9, 54.8, 47, 56.4, 61.4, 51.4, 45.4, 49.3, 41.5, 36.8
12, 2010-01-13, 51, 54.8, 47.2, 56.5, 61.5, 51.5, 45.5, 49.4, 41.6, 36.8
13, 2010-01-14, 51, 54.8, 47.2, 56.5, 61.5, 51.5, 45.5, 49.4, 41.6, 36.8
14, 2010-01-15, 51.1, 54.9, 47.3, 56.6, 61.6, 51.6, 45.5, 49.4, 41.6, 36.9
15, 2010-01-16, 51.2, 55, 47.4, 56.7, 61.7, 51.7, 45.6, 49.5, 41.7, 36.9
16, 2010-01-17, 51.2, 55, 47.4, 56.8, 61.8, 51.8, 45.7, 49.6, 41.8, 36.9
17, 2010-01-18, 51.3, 55.1, 47.5, 56.9, 61.9, 51.9, 45.7, 49.6, 41.8, 37
18, 2010-01-19, 51.4, 55.2, 47.6, 57, 62.1, 51.9, 45.8, 49.7, 41.9, 37
19, 2010-01-20, 51.5, 55.3, 47.7, 57.1, 62.2, 52, 45.8, 49.7, 41.9, 37.1
20, 2010-01-21, 51.5, 55.3, 47.7, 57.2, 62.3, 52.1, 45.9, 49.7, 42.1, 37.3
21, 2010-01-22, 51.6, 55.4, 47.8, 57.3, 62.4, 52.2, 45.9, 49.7, 42.1, 37.4
22, 2010-01-23, 51.7, 55.5, 47.9, 57.4, 62.5, 52.3, 46, 49.8, 42.2, 37.4
23, 2010-01-24, 51.8, 55.6, 48, 57.6, 62.7, 52.5, 46.1, 49.9, 42.3, 37.5
24, 2010-01-25, 51.9, 55.7, 48.1, 57.7, 62.9, 52.5, 46.1, 49.9, 42.3, 37.5
25, 2010-01-26, 52, 55.9, 48.1, 57.8, 63, 52.6, 46.2, 50, 42.4, 37.5
26, 2010-01-27, 52.1, 56, 48.2, 57.9, 63.1, 52.7, 46.3, 50.1, 42.5, 37.5
27, 2010-01-28, 52.2, 56.1, 48.3, 58.1, 63.3, 52.9, 46.4, 50.2, 42.6, 37.5
28, 2010-01-29, 52.3, 56.2, 48.4, 58.2, 63.5, 52.9, 46.4, 50.3, 42.5, 37.5
29, 2010-01-30, 52.4, 56.3, 48.5, 58.3, 63.6, 53, 46.5, 50.4, 42.6, 37.6
30, 2010-01-31, 52.5, 56.4, 48.6, 58.5, 63.8, 53.2, 46.6, 50.5, 42.7, 37.6
31, 2010-02-01, 52.6, 56.5, 48.7, 58.6, 64, 53.2, 46.6, 50.5, 42.7, 37.7
32, 2010-02-02, 52.7, 56.7, 48.7, 58.8, 64.2, 53.4, 46.7, 50.6, 42.8, 37.8
33, 2010-02-03, 52.8, 56.8, 48.8, 58.9, 64.3, 53.5, 46.8, 50.7, 42.9, 38
34, 2010-02-04, 52.9, 56.9, 48.9, 59, 64.5, 53.5, 46.9, 50.8, 43, 38.2
35, 2010-02-05, 53, 57, 49, 59.2, 64.7, 53.7, 46.9, 50.8, 43, 38.4
36, 2010-02-06, 53.1, 57.1, 49.1, 59.3, 64.8, 53.8, 47, 50.9, 43.1, 38.7
37, 2010-02-07, 53.2, 57.3, 49.1, 59.4, 65, 53.8, 47.1, 51, 43.2, 38.9
38, 2010-02-08, 53.3, 57.4, 49.2, 59.6, 65.2, 54, 47.1, 51, 43.2, 39.2
39, 2010-02-09, 53.4, 57.5, 49.3, 59.7, 65.4, 54, 47.2, 51.1, 43.3, 39.4
40, 2010-02-10, 53.5, 57.6, 49.4, 59.8, 65.5, 54.1, 47.3, 51.2, 43.4, 39.6
41, 2010-02-11, 53.6, 57.7, 49.5, 59.9, 65.6, 54.2, 47.3, 51.2, 43.4, 39.8
42, 2010-02-12, 53.7, 57.9, 49.5, 60.1, 65.9, 54.3, 47.4, 51.3, 43.5, 39.9
43, 2010-02-13, 53.8, 58, 49.6, 60.2, 66, 54.4, 47.5, 51.4, 43.6, 40.1
44, 2010-02-14, 53.9, 58.1, 49.7, 60.3, 66.2, 54.4, 47.5, 51.3, 43.7, 40.2
45, 2010-02-15, 54, 58.2, 49.8, 60.4, 66.3, 54.5, 47.6, 51.4, 43.8, 40.4
46, 2010-02-16, 54.1, 58.3, 49.9, 60.5, 66.5, 54.5, 47.6, 51.4, 43.8, 40.5
47, 2010-02-17, 54.1, 58.3, 49.9, 60.6, 66.6, 54.6, 47.7, 51.5, 43.9, 40.6
48, 2010-02-18, 54.2, 58.5, 49.9, 60.7, 66.7, 54.7, 47.8, 51.6, 44, 40.7
49, 2010-02-19, 54.3, 58.6, 50, 60.8, 66.9, 54.7, 47.8, 51.6, 44, 40.7
50, 2010-02-20, 54.4, 58.7, 50.1, 60.8, 66.9, 54.7, 47.9, 51.7, 44.1, 40.7
51, 2010-02-21, 54.4, 58.7, 50.1, 60.9, 67, 54.8, 47.9, 51.7, 44.1, 40.7
52, 2010-02-22, 54.5, 58.8, 50.2, 61, 67.2, 54.8, 48, 51.8, 44.2, 40.7
53, 2010-02-23, 54.5, 58.8, 50.2, 61.1, 67.3, 54.9, 48, 51.8, 44.2, 40.6
54, 2010-02-24, 54.6, 58.9, 50.3, 61.1, 67.3, 54.9, 48, 51.8, 44.2, 40.6
55, 2010-02-25, 54.6, 59, 50.2, 61.2, 67.5, 54.9, 48.1, 51.9, 44.3, 40.6
56, 2010-02-26, 54.7, 59.1, 50.3, 61.2, 67.5, 54.9, 48.1, 51.8, 44.4, 40.6
57, 2010-02-27, 54.7, 59.1, 50.3, 61.3, 67.7, 54.9, 48.2, 51.9, 44.5, 40.5
58, 2010-02-28, 54.8, 59.2, 50.4, 61.3, 67.7, 54.9, 48.2, 51.9, 44.5, 40.5
59, 2010-03-01, 54.8, 59.2, 50.4, 61.4, 67.8, 55, 48.2, 51.9, 44.5, 40.3
60, 2010-03-02, 54.8, 59.2, 50.4, 61.4, 67.9, 54.9, 48.3, 52, 44.6, 40.1
61, 2010-03-03, 54.9, 59.3, 50.5, 61.5, 68, 55, 48.3, 52, 44.6, 39.9
62, 2010-03-04, 54.9, 59.3, 50.5, 61.5, 68, 55, 48.3, 51.9, 44.7, 39.6
63, 2010-03-05, 54.9, 59.3, 50.5, 61.5, 68, 55, 48.3, 51.9, 44.7, 39.3
64, 2010-03-06, 55, 59.4, 50.6, 61.5, 68, 55, 48.4, 52, 44.8, 38.9
65, 2010-03-07, 55, 59.4, 50.6, 61.6, 68.1, 55.1, 48.4, 52, 44.8, 38.5
66, 2010-03-08, 55, 59.4, 50.6, 61.6, 68.2, 55, 48.4, 51.9, 44.9, 38.1
67, 2010-03-09, 55, 59.4, 50.6, 61.6, 68.2, 55, 48.4, 51.9, 44.9, 37.8
68, 2010-03-10, 55, 59.5, 50.5, 61.6, 68.2, 55, 48.4, 51.9, 44.9, 37.4
69, 2010-03-11, 55.1, 59.6, 50.6, 61.7, 68.3, 55.1, 48.5, 52, 45, 37
70, 2010-03-12, 55.1, 59.6, 50.6, 61.7, 68.3, 55.1, 48.5, 52, 45, 36.5
71, 2010-03-13, 55.1, 59.6, 50.6, 61.7, 68.4, 55, 48.5, 52, 45, 36.1
72, 2010-03-14, 55.1, 59.6, 50.6, 61.7, 68.4, 55, 48.5, 52, 45, 35.7
73, 2010-03-15, 55.1, 59.6, 50.6, 61.7, 68.4, 55, 48.5, 52, 45, 35.3
74, 2010-03-16, 55.1, 59.6, 50.6, 61.8, 68.5, 55.1, 48.5, 52, 45, 34.8
75, 2010-03-17, 55.2, 59.7, 50.7, 61.8, 68.5, 55.1, 48.5, 52, 45, 34.3
76, 2010-03-18, 55.2, 59.8, 50.6, 61.8, 68.6, 55, 48.5, 52, 45, 33.8
77, 2010-03-19, 55.2, 59.8, 50.6, 61.8, 68.6, 55, 48.6, 52, 45.2, 33.3
78, 2010-03-20, 55.2, 59.8, 50.6, 61.9, 68.8, 55, 48.6, 52, 45.2, 32.9
79, 2010-03-21, 55.2, 59.8, 50.6, 61.9, 68.8, 55, 48.6, 52, 45.2, 32.5
80, 2010-03-22, 55.3, 60, 50.6, 61.9, 68.8, 55, 48.6, 52, 45.2, 32.1
81, 2010-03-23, 55.3, 60, 50.6, 62, 69, 55, 48.6, 52, 45.2, 31.7
82, 2010-03-24, 55.3, 60, 50.6, 62, 69, 55, 48.6, 52, 45.2, 31.2
83, 2010-03-25, 55.3, 60, 50.6, 62, 69.1, 54.9, 48.6, 52, 45.2, 30.8
84, 2010-03-26, 55.3, 60, 50.6, 62.1, 69.2, 55, 48.6, 52, 45.2, 30.3
85, 2010-03-27, 55.4, 60.1, 50.7, 62.1, 69.2, 55, 48.6, 52, 45.2, 29.8
86, 2010-03-28, 55.4, 60.1, 50.7, 62.2, 69.3, 55.1, 48.6, 51.9, 45.3, 29.3
87, 2010-03-29, 55.4, 60.1, 50.7, 62.2, 69.3, 55.1, 48.7, 52, 45.4, 28.8
88, 2010-03-30, 55.5, 60.2, 50.8, 62.3, 69.5, 55.1, 48.7, 52, 45.4, 28.4
89, 2010-03-31, 55.5, 60.2, 50.8, 62.3, 69.5, 55.1, 48.7, 52, 45.4, 27.9
90, 2010-04-01, 55.5, 60.3, 50.7, 62.4, 69.6, 55.2, 48.7, 52, 45.4, 27.5
91, 2010-04-02, 55.6, 60.4, 50.8, 62.4, 69.6, 55.2, 48.7, 52, 45.4, 27.1
92, 2010-04-03, 55.6, 60.4, 50.8, 62.5, 69.7, 55.3, 48.7, 52, 45.4, 26.7
93, 2010-04-04, 55.6, 60.4, 50.8, 62.5, 69.8, 55.2, 48.8, 52.1, 45.5, 26.3
94, 2010-04-05, 55.7, 60.5, 50.9, 62.6, 69.9, 55.3, 48.8, 52.1, 45.5, 25.9
95, 2010-04-06, 55.7, 60.5, 50.9, 62.6, 69.9, 55.3, 48.8, 52.1, 45.5, 25.6
96, 2010-04-07, 55.8, 60.6, 51, 62.7, 70, 55.4, 48.8, 52.1, 45.5, 25.2
97, 2010-04-08, 55.8, 60.6, 51, 62.7, 70.1, 55.3, 48.9, 52.2, 45.6, 24.9
98, 2010-04-09, 55.8, 60.6, 51, 62.8, 70.2, 55.4, 48.9, 52.2, 45.6, 24.6
99, 2010-04-10, 55.9, 60.8, 51, 62.9, 70.3, 55.5, 48.9, 52.2, 45.6, 24.3
100, 2010-04-11, 55.9, 60.8, 51, 62.9, 70.3, 55.5, 49, 52.3, 45.7, 23.9
101, 2010-04-12, 56, 60.9, 51.1, 63, 70.5, 55.5, 49, 52.3, 45.7, 23.6
102, 2010-04-13, 56, 60.9, 51.1, 63, 70.5, 55.5, 49, 52.3, 45.7, 23.2
103, 2010-04-14, 56.1, 61, 51.2, 63.1, 70.6, 55.6, 49.1, 52.4, 45.8, 22.9
104, 2010-04-15, 56.1, 61, 51.2, 63.1, 70.6, 55.6, 49.1, 52.4, 45.8, 22.5
105, 2010-04-16, 56.2, 61.1, 51.3, 63.2, 70.7, 55.7, 49.2, 52.5, 45.9, 22.2
106, 2010-04-17, 56.2, 61.1, 51.3, 63.2, 70.7, 55.7, 49.2, 52.4, 46, 21.9
