day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 50.3, 54.3, 46.3, 55.9, 60.4, 51.4, 44.7, 49.9, 39.5, 36.6
1, 2010-01-02, 50.3, 54.3, 46.3, 55.9, 60.4, 51.4, 44.7, 49.9, 39.5, 36.5
2, 2010-01-03, 50.3, 54.3, 46.3, 55.9, 60.4, 51.4, 44.7, 49.9, 39.5, 36.4
3, 2010-01-04, 50.3, 54.2, 46.4, 55.9, 60.4, 51.4, 44.7, 49.8, 39.6, 36.3
4, 2010-01-05, 50.3, 54.2, 46.4, 56, 60.5, 51.5, 44.7, 49.8, 39.6, 36.2
5, 2010-01-06, 50.3, 54.2, 46.4, 56, 60.5, 51.5, 44.7, 49.8, 39.6, 36.1
6, 2010-01-07, 50.4, 54.3, 46.5, 56, 60.5, 51.5, 44.7, 49.8, 39.6, 36
7, 2010-01-08, 50.4, 54.2, 46.6, 56.1, 60.6, 51.6, 44.7, 49.8, 39.6, 35.9
8, 2010-01-09, 50.4, 54.2, 46.6, 56.1, 60.6, 51.6, 44.7, 49.8, 39.6, 35.8
9, 2010-01-10, 50.4, 54.2, 46.6, 56.2, 60.7, 51.7, 44.7, 49.8, 39.6, 35.7
10, 2010-01-11, 50.5, 54.2, 46.8, 56.2, 60.7, 51.7, 44.8, 49.8, 39.8, 35.7
11, 2010-01-12, 50.5, 54.2, 46.8, 56.3, 60.7, 51.9, 44.8, 49.8, 39.8, 35.6
12, 2010-01-13, 50.6, 54.3, 46.9, 56.3, 60.7, 51.9, 44.8, 49.8, 39.8, 35.6
13, 2010-01-14, 50.6, 54.3, 46.9, 56.4, 60.8, 52, 44.8, 49.7, 39.9, 35.6
14, 2010-01-15, 50.7, 54.3, 47.1, 56.4, 60.8, 52, 44.9, 49.8, 40, 35.7
15, 2010-01-16, 50.7, 54.3, 47.1, 56.5, 60.9, 52.1, 44.9, 49.8, 40, 35.7
16, 2010-01-17, 50.8, 54.4, 47.2, 56.6, 61, 52.2, 44.9, 49.8, 40, 35.7
17, 2010-01-18, 50.8, 54.4, 47.2, 56.6, 61, 52.2, 45, 49.8, 40.2, 35.8
18, 2010-01-19, 50.9, 54.4, 47.4, 56.7, 61.1, 52.3, 45, 49.8, 40.2, 35.9
19, 2010-01-20, 50.9, 54.4, 47.4, 56.8, 61.2, 52.4, 45.1, 49.9, 40.3, 36
20, 2010-01-21, 51, 54.5, 47.5, 56.9, 61.3, 52.5, 45.1, 49.8, 40.4, 36.2
21, 2010-01-22, 51, 54.5, 47.5, 56.9, 61.4, 52.4, 45.2, 49.9, 40.5, 36.4
22, 2010-01-23, 51.1, 54.6, 47.6, 57, 61.5, 52.5, 45.2, 49.8, 40.6, 36.5
23, 2010-01-24, 51.2, 54.6, 47.8, 57.1, 61.6, 52.6, 45.3, 49.9, 40.7, 36.5
24, 2010-01-25, 51.2, 54.6, 47.8, 57.2, 61.7, 52.7, 45.3, 49.9, 40.7, 36.6
25, 2010-01-26, 51.3, 54.7, 47.9, 57.3, 61.8, 52.8, 45.4, 49.9, 40.9, 36.6
