day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 49.6, 53.7, 45.5, 55.5, 59.8, 51.2, 43.7, 48.7, 38.7, 35.8
1, 2010-01-02, 49.6, 53.7, 45.5, 55.5, 59.8, 51.2, 43.7, 48.7, 38.7, 35.8
2, 2010-01-03, 49.6, 53.7, 45.5, 55.5, 59.8, 51.2, 43.7, 48.7, 38.7, 35.8
3, 2010-01-04, 49.6, 53.7, 45.5, 55.5, 59.8, 51.2, 43.7, 48.7, 38.7, 35.8
4, 2010-01-05, 49.6, 53.7, 45.5, 55.6, 60, 51.2, 43.7, 48.7, 38.7, 35.8
5, 2010-01-06, 49.6, 53.7, 45.5, 55.6, 60, 51.2, 43.7, 48.7, 38.7, 35.8
6, 2010-01-07, 49.7, 53.8, 45.6, 55.6, 60, 51.2, 43.7, 48.7, 38.7, 35.8
7, 2010-01-08, 49.7, 53.8, 45.6, 55.7, 60.1, 51.3, 43.7, 48.6, 38.8, 35.7
8, 2010-01-09, 49.7, 53.7, 45.7, 55.7, 60.1, 51.3, 43.8, 48.7, 38.9, 35.7
9, 2010-01-10, 49.8, 53.8, 45.8, 55.7, 60.1, 51.3, 43.8, 48.7, 38.9, 35.7
10, 2010-01-11, 49.8, 53.8, 45.8, 55.8, 60.2, 51.4, 43.8, 48.7, 38.9, 35.7
11, 2010-01-12, 49.9, 53.9, 45.9, 55.9, 60.3, 51.5, 43.9, 48.7, 39.1, 35.8
12, 2010-01-13, 49.9, 53.8, 46, 55.9, 60.3, 51.5, 43.9, 48.7, 39.1, 35.8
13, 2010-01-14, 50, 53.9, 46.1, 56, 60.4, 51.6, 44, 48.8, 39.2, 35.9
14, 2010-01-15, 50, 53.9, 46.1, 56.1, 60.5, 51.7, 44, 48.8, 39.2, 36
15, 2010-01-16, 50.1, 54, 46.2, 56.1, 60.5, 51.7, 44.1, 48.8, 39.4, 36
16, 2010-01-17, 50.2, 54.1, 46.3, 56.2, 60.6, 51.8, 44.1, 48.8, 39.4, 36.1
17, 2010-01-18, 50.2, 54.1, 46.3, 56.3, 60.7, 51.9, 44.2, 48.9, 39.5, 36.2
18, 2010-01-19, 50.3, 54.1, 46.5, 56.4, 60.8, 52, 44.3, 49, 39.6, 36.3
19, 2010-01-20, 50.4, 54.2, 46.6, 56.5, 60.9, 52.1, 44.3, 49, 39.6, 36.5
20, 2010-01-21, 50.5, 54.3, 46.7, 56.6, 61, 52.2, 44.4, 49.1, 39.7, 36.6
21, 2010-01-22, 50.6, 54.4, 46.8, 56.7, 61.1, 52.3, 44.5, 49.2, 39.8, 36.7
22, 2010-01-23, 50.7, 54.5, 46.9, 56.8, 61.2, 52.4, 44.5, 49.2, 39.8, 36.8
23, 2010-01-24, 50.7, 54.5, 46.9, 56.9, 61.3, 52.5, 44.6, 49.3, 39.9, 36.8
24, 2010-01-25, 50.8, 54.6, 47, 57, 61.4, 52.6, 44.7, 49.4, 40, 36.9
25, 2010-01-26, 50.9, 54.7, 47.1, 57.1, 61.5, 52.7, 44.8, 49.5, 40.1, 36.9
26, 2010-01-27, 51, 54.8, 47.2, 57.2, 61.7, 52.7, 44.8, 49.5, 40.1, 37
27, 2010-01-28, 51.1, 54.9, 47.3, 57.3, 61.8, 52.8, 44.9, 49.5, 40.3, 37
28, 2010-01-29, 51.2, 55, 47.4, 57.5, 62, 53, 45, 49.6, 40.4, 37.1
29, 2010-01-30, 51.3, 55.1, 47.5, 57.6, 62.1, 53.1, 45.1, 49.7, 40.5, 37.1
30, 2010-01-31, 51.4, 55.2, 47.6, 57.7, 62.2, 53.2, 45.2, 49.8, 40.6, 37.1
31, 2010-02-01, 51.5, 55.3, 47.7, 57.8, 62.3, 53.3, 45.3, 49.9, 40.7, 37.2
32, 2010-02-02, 51.6, 55.4, 47.8, 58, 62.5, 53.5, 45.3, 49.9, 40.7, 37.4
33, 2010-02-03, 51.8, 55.6, 48, 58.1, 62.6, 53.6, 45.4, 50, 40.8, 37.5
34, 2010-02-04, 51.9, 55.7, 48.1, 58.2, 62.7, 53.7, 45.5, 50.1, 40.9, 37.7
35, 2010-02-05, 52, 55.8, 48.2, 58.3, 62.9, 53.7, 45.6, 50.2, 41, 37.9
36, 2010-02-06, 52.1, 55.9, 48.3, 58.5, 63.1, 53.9, 45.7, 50.3, 41.1, 38.1
37, 2010-02-07, 52.2, 56, 48.4, 58.6, 63.2, 54, 45.8, 50.4, 41.2, 38.3
38, 2010-02-08, 52.3, 56.1, 48.5, 58.7, 63.3, 54.1, 45.8, 50.3, 41.3, 38.5
39, 2010-02-09, 52.4, 56.2, 48.6, 58.9, 63.5, 54.3, 45.9, 50.4, 41.4, 38.7
40, 2010-02-10, 52.5, 56.3, 48.7, 59, 63.7, 54.3, 46, 50.5, 41.5, 38.9
41, 2010-02-11, 52.6, 56.4, 48.8, 59.1, 63.8, 54.4, 46.1, 50.6, 41.6, 39.1
42, 2010-02-12, 52.7, 56.5, 48.9, 59.2, 63.9, 54.5, 46.2, 50.7, 41.7, 39.2
43, 2010-02-13, 52.8, 56.6, 49, 59.4, 64.1, 54.7, 46.2, 50.6, 41.8, 39.3
44, 2010-02-14, 52.9, 56.7, 49.1, 59.5, 64.3, 54.7, 46.3, 50.7, 41.9, 39.4
45, 2010-02-15, 53, 56.8, 49.2, 59.6, 64.4, 54.8, 46.4, 50.8, 42, 39.6
46, 2010-02-16, 53.1, 56.9, 49.3, 59.7, 64.5, 54.9, 46.5, 50.9, 42.1, 39.7
47, 2010-02-17, 53.2, 57, 49.4, 59.9, 64.8, 55, 46.5, 50.8, 42.2, 39.8
48, 2010-02-18, 53.3, 57.1, 49.5, 60, 64.9, 55.1, 46.6, 50.9, 42.3, 39.8
49, 2010-02-19, 53.4, 57.2, 49.6, 60.1, 65, 55.2, 46.7, 51, 42.4, 39.8
50, 2010-02-20, 53.5, 57.3, 49.7, 60.2, 65.2, 55.2, 46.7, 51, 42.4, 39.8
51, 2010-02-21, 53.5, 57.3, 49.7, 60.3, 65.3, 55.3, 46.8, 51, 42.6, 39.7
52, 2010-02-22, 53.6, 57.4, 49.8, 60.4, 65.4, 55.4, 46.9, 51.1, 42.7, 39.7
53, 2010-02-23, 53.7, 57.5, 49.9, 60.5, 65.5, 55.5, 46.9, 51.1, 42.7, 39.6
54, 2010-02-24, 53.8, 57.6, 50, 60.6, 65.7, 55.5, 47, 51.2, 42.8, 39.6
55, 2010-02-25, 53.9, 57.7, 50.1, 60.7, 65.8, 55.6, 47, 51.1, 42.9, 39.5
56, 2010-02-26, 53.9, 57.7, 50.1, 60.8, 66, 55.6, 47.1, 51.2, 43, 39.5
57, 2010-02-27, 54, 57.8, 50.2, 60.9, 66.1, 55.7, 47.1, 51.2, 43, 39.4
58, 2010-02-28, 54.1, 57.9, 50.3, 61, 66.2, 55.8, 47.2, 51.3, 43.1, 39.3
59, 2010-03-01, 54.1, 58, 50.2, 61.1, 66.4, 55.8, 47.2, 51.3, 43.1, 39.1
60, 2010-03-02, 54.2, 58.1, 50.3, 61.1, 66.4, 55.8, 47.3, 51.3, 43.3, 38.9
61, 2010-03-03, 54.3, 58.2, 50.4, 61.2, 66.6, 55.8, 47.3, 51.3, 43.3, 38.6
62, 2010-03-04, 54.3, 58.2, 50.4, 61.3, 66.7, 55.9, 47.3, 51.3, 43.3, 38.3
63, 2010-03-05, 54.4, 58.3, 50.5, 61.4, 66.8, 56, 47.4, 51.4, 43.4, 38
64, 2010-03-06, 54.4, 58.3, 50.5, 61.5, 66.9, 56.1, 47.4, 51.4, 43.4, 37.7
65, 2010-03-07, 54.5, 58.4, 50.6, 61.5, 66.9, 56.1, 47.4, 51.3, 43.5, 37.3
66, 2010-03-08, 54.5, 58.4, 50.6, 61.6, 67.1, 56.1, 47.5, 51.4, 43.6, 36.9
67, 2010-03-09, 54.6, 58.5, 50.7, 61.7, 67.2, 56.2, 47.5, 51.4, 43.6, 36.6
68, 2010-03-10, 54.6, 58.5, 50.7, 61.7, 67.2, 56.2, 47.5, 51.4, 43.6, 36.2
69, 2010-03-11, 54.7, 58.6, 50.8, 61.8, 67.3, 56.3, 47.6, 51.5, 43.7, 35.9
70, 2010-03-12, 54.7, 58.6, 50.8, 61.8, 67.3, 56.3, 47.6, 51.5, 43.7, 35.5
71, 2010-03-13, 54.8, 58.7, 50.9, 61.9, 67.5, 56.3, 47.6, 51.5, 43.7, 35.1
72, 2010-03-14, 54.8, 58.7, 50.9, 62, 67.6, 56.4, 47.7, 51.5, 43.9, 34.6
73, 2010-03-15, 54.9, 58.9, 50.9, 62, 67.6, 56.4, 47.7, 51.5, 43.9, 34.2
74, 2010-03-16, 54.9, 58.9, 50.9, 62.1, 67.7, 56.5, 47.7, 51.5, 43.9, 33.7
75, 2010-03-17, 54.9, 58.9, 50.9, 62.2, 67.9, 56.5, 47.7, 51.5, 43.9, 33.2
76, 2010-03-18, 55, 59, 51, 62.2, 67.9, 56.5, 47.8, 51.6, 44, 32.8
77, 2010-03-19, 55, 59, 51, 62.3, 68, 56.6, 47.8, 51.6, 44, 32.3
78, 2010-03-20, 55.1, 59.1, 51.1, 62.3, 68.1, 56.5, 47.8, 51.5, 44.1, 31.9
79, 2010-03-21, 55.1, 59.1, 51.1, 62.4, 68.2, 56.6, 47.8, 51.5, 44.1, 31.5
80, 2010-03-22, 55.2, 59.2, 51.2, 62.5, 68.4, 56.6, 47.9, 51.6, 44.2, 31.1
81, 2010-03-23, 55.2, 59.3, 51.1, 62.5, 68.4, 56.6, 47.9, 51.6, 44.2, 30.7
82, 2010-03-24, 55.3, 59.4, 51.2, 62.6, 68.6, 56.6, 47.9, 51.6, 44.2, 30.2
83, 2010-03-25, 55.3, 59.4, 51.2, 62.7, 68.7, 56.7, 48, 51.6, 44.4, 29.8
84, 2010-03-26, 55.4, 59.5, 51.3, 62.8, 68.9, 56.7, 48, 51.6, 44.4, 29.3
85, 2010-03-27, 55.4, 59.5, 51.3, 62.8, 68.9, 56.7, 48, 51.6, 44.4, 28.8
86, 2010-03-28, 55.5, 59.6, 51.4, 62.9, 69, 56.8, 48.1, 51.7, 44.5, 28.3
87, 2010-03-29, 55.5, 59.6, 51.4, 63, 69.2, 56.8, 48.1, 51.7, 44.5, 27.8
88, 2010-03-30, 55.6, 59.7, 51.5, 63.1, 69.3, 56.9, 48.1, 51.6, 44.6, 27.4
89, 2010-03-31, 55.7, 59.8, 51.6, 63.2, 69.4, 57, 48.2, 51.7, 44.7, 26.9
90, 2010-04-01, 55.7, 59.8, 51.6, 63.2, 69.5, 56.9, 48.2, 51.7, 44.7, 26.4
91, 2010-04-02, 55.8, 59.9, 51.7, 63.3, 69.6, 57, 48.2, 51.7, 44.7, 26
92, 2010-04-03, 55.9, 60, 51.8, 63.4, 69.7, 57.1, 48.3, 51.8, 44.8, 25.6
93, 2010-04-04, 55.9, 60, 51.8, 63.5, 69.9, 57.1, 48.3, 51.7, 44.9, 25.2
94, 2010-04-05, 56, 60.1, 51.9, 63.6, 70, 57.2, 48.4, 51.8, 45, 24.8
95, 2010-04-06, 56.1, 60.2, 52, 63.7, 70.1, 57.3, 48.4, 51.8, 45, 24.4
96, 2010-04-07, 56.1, 60.3, 51.9, 63.8, 70.3, 57.3, 48.5, 51.9, 45.1, 24
97, 2010-04-08, 56.2, 60.4, 52, 63.9, 70.4, 57.4, 48.5, 51.9, 45.1, 23.6
98, 2010-04-09, 56.3, 60.5, 52.1, 64, 70.6, 57.4, 48.6, 52, 45.2, 23.2
99, 2010-04-10, 56.4, 60.6, 52.2, 64.1, 70.7, 57.5, 48.7, 52, 45.4, 22.8
100, 2010-04-11, 56.5, 60.7, 52.3, 64.2, 70.9, 57.5, 48.7, 52, 45.4, 22.4
101, 2010-04-12, 56.6, 60.8, 52.4, 64.3, 71, 57.6, 48.8, 52.1, 45.5, 22.1
102, 2010-04-13, 56.6, 60.8, 52.4, 64.4, 71.1, 57.7, 48.9, 52.2, 45.6, 21.7
