day, date, avg, avgh, avgl, hi, hih, hil, lo, loh, lol, precip
0, 2010-01-01, 47.8, 52.2, 43.4, 59.7, 65.1, 54.3, 36, 42.7, 29.3, 32.4
1, 2010-01-02, 47.9, 52.4, 43.4, 59.7, 65.1, 54.3, 36, 42.7, 29.3, 32.5
2, 2010-01-03, 47.9, 52.4, 43.4, 59.7, 65.2, 54.2, 36.1, 42.8, 29.4, 32.6
3, 2010-01-04, 47.9, 52.4, 43.4, 59.8, 65.3, 54.3, 36.1, 42.8, 29.4, 32.7
4, 2010-01-05, 48, 52.5, 43.5, 59.8, 65.3, 54.3, 36.2, 42.9, 29.5, 32.8
5, 2010-01-06, 48, 52.5, 43.5, 59.8, 65.4, 54.2, 36.2, 42.9, 29.5, 32.9
6, 2010-01-07, 48.1, 52.6, 43.6, 59.9, 65.5, 54.3, 36.3, 43, 29.6, 32.9
7, 2010-01-08, 48.1, 52.6, 43.6, 59.9, 65.5, 54.3, 36.4, 43.1, 29.7, 33
8, 2010-01-09, 48.2, 52.7, 43.7, 59.9, 65.6, 54.2, 36.4, 43.1, 29.7, 33.1
9, 2010-01-10, 48.2, 52.7, 43.7, 60, 65.7, 54.3, 36.5, 43.2, 29.8, 33.2
10, 2010-01-11, 48.3, 52.8, 43.8, 60, 65.7, 54.3, 36.6, 43.3, 29.9, 33.3
11, 2010-01-12, 48.4, 52.9, 43.9, 60.1, 65.8, 54.4, 36.7, 43.4, 30, 33.4
12, 2010-01-13, 48.4, 52.9, 43.9, 60.1, 65.9, 54.3, 36.7, 43.4, 30, 33.5
13, 2010-01-14, 48.5, 53, 44, 60.2, 66, 54.4, 36.8, 43.4, 30.2, 33.7
14, 2010-01-15, 48.6, 53.1, 44.1, 60.3, 66.1, 54.5, 36.9, 43.5, 30.3, 33.9
15, 2010-01-16, 48.6, 53.1, 44.1, 60.3, 66.1, 54.5, 37, 43.6, 30.4, 34.1
16, 2010-01-17, 48.7, 53.2, 44.2, 60.4, 66.2, 54.6, 37, 43.6, 30.4, 34.3
17, 2010-01-18, 48.8, 53.3, 44.3, 60.5, 66.3, 54.7, 37.1, 43.7, 30.5, 34.5
18, 2010-01-19, 48.9, 53.4, 44.4, 60.6, 66.4, 54.8, 37.2, 43.8, 30.6, 34.7
19, 2010-01-20, 49, 53.5, 44.5, 60.6, 66.4, 54.8, 37.3, 43.9, 30.7, 34.9
20, 2010-01-21, 49.1, 53.6, 44.6, 60.7, 66.6, 54.8, 37.4, 44, 30.8, 35.1
21, 2010-01-22, 49.1, 53.7, 44.5, 60.8, 66.7, 54.9, 37.5, 44.1, 30.9, 35.3
22, 2010-01-23, 49.2, 53.8, 44.6, 60.9, 66.8, 55, 37.5, 44.1, 30.9, 35.4
23, 2010-01-24, 49.3, 53.9, 44.7, 61, 66.9, 55.1, 37.6, 44.2, 31, 35.6
24, 2010-01-25, 49.4, 54, 44.8, 61.1, 67.1, 55.1, 37.7, 44.3, 31.1, 35.6
